configuration,ablation_family,removed_component,feature_count,cohort,tasks,precision,recall,f1,false_positive_rate,full_f1,delta_f1_pp,fpr_percent
full_36d,full,,36,canonical_finite,9,0.9826075810720005,0.7964850239868523,0.8738768701426617,0.00027705191016347774,0.8738768701426617,0.0,0.027705191016347774
full_36d,full,,36,full,9,0.9917197180016443,0.8865965585887147,0.9342205336320796,0.00027705191016347774,0.9342205336320796,0.0,0.027705191016347774
without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,9,0.8799064721733063,0.7944045669013395,0.8288967334500378,0.0013730703631853777,0.8738768701426617,-4.498013669262391,0.13730703631853777
without_pair_24_25,layer_pair,"(24,25)",24,full,9,0.946511386358889,0.8860864415460035,0.9126395785216516,0.0013730703631853777,0.9342205336320796,-2.1580955110428013,0.13730703631853777
without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,9,0.8933245344500418,0.7851898565790248,0.8261069074097147,0.0012804560254797333,0.8738768701426617,-4.776996273294698,0.12804560254797331
without_pair_26_27,layer_pair,"(26,27)",24,full,9,0.9533999537118844,0.8778596237044428,0.9094911025969051,0.0012804560254797333,0.9342205336320796,-2.4729431035174443,0.12804560254797331
without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,9,0.9175073265105187,0.8021544380330696,0.8491010043916624,0.0009796035980186332,0.8738768701426617,-2.4775865750999326,0.09796035980186332
without_pair_6_7,layer_pair,"(6,7)",24,full,9,0.9642815352298655,0.8885942410764741,0.9225546580679183,0.0009796035980186332,0.9342205336320796,-1.166587556416132,0.09796035980186332
without_cos_sim,metric,cos_sim,27,canonical_finite,9,0.9257723060679012,0.7899791760219022,0.8444484829248415,0.0021180594874276332,0.8738768701426617,-2.942838721782015,0.21180594874276332
without_cos_sim,metric,cos_sim,27,full,9,0.9504214745959233,0.8855440264851507,0.914669956757122,0.0021180594874276332,0.9342205336320796,-1.9550576874957537,0.21180594874276332
without_l2_distance,metric,l2_distance,27,canonical_finite,9,0.9185144551647819,0.799489015395467,0.8484823603305865,0.0010978028420901887,0.8738768701426617,-2.539450981207514,0.10978028420901888
without_l2_distance,metric,l2_distance,27,full,9,0.9598768033067699,0.8877025938334973,0.9202063034908762,0.0010978028420901887,0.9342205336320796,-1.4014230141203399,0.10978028420901888
without_mean_diff,metric,mean_diff,27,canonical_finite,9,0.8381215235822652,0.7998378631078671,0.808780874977973,0.0025974954200891,0.8738768701426617,-6.509599516468867,0.25974954200891
without_mean_diff,metric,mean_diff,27,full,9,0.9140923037881302,0.8879660558440716,0.8968498769368995,0.0025974954200891,0.9342205336320796,-3.7370656695180027,0.25974954200891
without_std_diff,metric,std_diff,27,canonical_finite,9,0.9498667539762642,0.8039678852767422,0.8655027209073163,0.000804802097765,0.8738768701426617,-0.8374149235345407,0.0804802097765
without_std_diff,metric,std_diff,27,full,9,0.9736715488549594,0.8924553445171856,0.9296270395264808,0.000804802097765,0.9342205336320796,-0.4593494105598728,0.0804802097765
