job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_lingoqa,internvl3,lingoqa,full_36d,full,,36,canonical_finite,0.2591981887817383,574,22757,4069,5827,5776,273,275,268,7,5,5496,0.9745454545454545,0.9816849816849816,0.0012720334363074686,0.9781021897810219
internvl3_lingoqa,internvl3,lingoqa,full_36d,full,,36,full,0.2591981887817383,574,22757,4069,5827,5827,324,326,319,7,5,5496,0.9785276073619632,0.9845679012345679,0.0012720334363074686,0.9815384615384616
internvl3_lingoqa,internvl3,lingoqa,without_cos_sim,metric,cos_sim,27,canonical_finite,0.12946824729442596,595,22757,4069,5827,5776,273,319,268,51,5,5452,0.8401253918495298,0.9816849816849816,0.009267672178811557,0.9054054054054054
internvl3_lingoqa,internvl3,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.12946824729442596,595,22757,4069,5827,5827,324,370,319,51,5,5452,0.8621621621621621,0.9845679012345679,0.009267672178811557,0.9193083573487032
internvl3_lingoqa,internvl3,lingoqa,without_l2_distance,metric,l2_distance,27,canonical_finite,0.7417159080505371,181,22757,4069,5827,5776,273,270,266,4,7,5499,0.9851851851851852,0.9743589743589743,0.0007268762493185535,0.9797421731123389
internvl3_lingoqa,internvl3,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.7417159080505371,181,22757,4069,5827,5827,324,321,317,4,7,5499,0.9875389408099688,0.9783950617283951,0.0007268762493185535,0.9829457364341085
internvl3_lingoqa,internvl3,lingoqa,without_mean_diff,metric,mean_diff,27,canonical_finite,0.6589855551719666,75,22757,4069,5827,5776,273,271,266,5,7,5498,0.981549815498155,0.9743589743589743,0.0009085953116481918,0.9779411764705882
internvl3_lingoqa,internvl3,lingoqa,without_mean_diff,metric,mean_diff,27,full,0.6589855551719666,75,22757,4069,5827,5827,324,322,317,5,7,5498,0.984472049689441,0.9783950617283951,0.0009085953116481918,0.9814241486068112
internvl3_lingoqa,internvl3,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,0.8041906356811523,155,22757,4069,5827,5776,273,268,266,2,7,5501,0.9925373134328358,0.9743589743589743,0.00036343812465927677,0.9833641404805915
internvl3_lingoqa,internvl3,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.8041906356811523,155,22757,4069,5827,5827,324,319,317,2,7,5501,0.9937304075235109,0.9783950617283951,0.00036343812465927677,0.9860031104199067
internvl3_lingoqa,internvl3,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,0.40893077850341797,408,22757,4069,5827,5776,273,267,266,1,7,5502,0.9962546816479401,0.9743589743589743,0.00018171906232963838,0.9851851851851852
internvl3_lingoqa,internvl3,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.40893077850341797,408,22757,4069,5827,5827,324,318,317,1,7,5502,0.9968553459119497,0.9783950617283951,0.00018171906232963838,0.9875389408099688
internvl3_lingoqa,internvl3,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,0.7100030779838562,137,22757,4069,5827,5776,273,271,266,5,7,5498,0.981549815498155,0.9743589743589743,0.0009085953116481918,0.9779411764705882
internvl3_lingoqa,internvl3,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7100030779838562,137,22757,4069,5827,5827,324,322,317,5,7,5498,0.984472049689441,0.9783950617283951,0.0009085953116481918,0.9814241486068112
internvl3_lingoqa,internvl3,lingoqa,without_std_diff,metric,std_diff,27,canonical_finite,0.7878071665763855,195,22757,4069,5827,5776,273,269,265,4,8,5499,0.9851301115241635,0.9706959706959707,0.0007268762493185535,0.977859778597786
internvl3_lingoqa,internvl3,lingoqa,without_std_diff,metric,std_diff,27,full,0.7878071665763855,195,22757,4069,5827,5827,324,320,316,4,8,5499,0.9875,0.9753086419753086,0.0007268762493185535,0.9813664596273292
