job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_vqav2,internvl3,vqav2,full_36d,full,,36,canonical_finite,0.5240898132324219,4,22389,3796,6071,6031,289,267,267,0,22,5742,1.0,0.9238754325259516,0.0,0.960431654676259
internvl3_vqav2,internvl3,vqav2,full_36d,full,,36,full,0.5240898132324219,4,22389,3796,6071,6086,344,322,322,0,22,5742,1.0,0.936046511627907,0.0,0.9669669669669669
internvl3_vqav2,internvl3,vqav2,without_cos_sim,metric,cos_sim,27,canonical_finite,0.5079121589660645,3,22389,3796,6071,6031,289,282,268,14,21,5728,0.950354609929078,0.9273356401384083,0.0024381748519679554,0.9387040280210157
internvl3_vqav2,internvl3,vqav2,without_cos_sim,metric,cos_sim,27,full,0.5079121589660645,3,22389,3796,6071,6086,344,337,323,14,21,5728,0.9584569732937686,0.938953488372093,0.0024381748519679554,0.9486049926578561
internvl3_vqav2,internvl3,vqav2,without_l2_distance,metric,l2_distance,27,canonical_finite,0.5120087265968323,8,22389,3796,6071,6031,289,272,268,4,21,5738,0.9852941176470589,0.9273356401384083,0.0006966213862765587,0.9554367201426025
internvl3_vqav2,internvl3,vqav2,without_l2_distance,metric,l2_distance,27,full,0.5120087265968323,8,22389,3796,6071,6086,344,327,323,4,21,5738,0.9877675840978594,0.938953488372093,0.0006966213862765587,0.96274217585693
internvl3_vqav2,internvl3,vqav2,without_mean_diff,metric,mean_diff,27,canonical_finite,0.5043541193008423,0,22389,3796,6071,6031,289,272,268,4,21,5738,0.9852941176470589,0.9273356401384083,0.0006966213862765587,0.9554367201426025
internvl3_vqav2,internvl3,vqav2,without_mean_diff,metric,mean_diff,27,full,0.5043541193008423,0,22389,3796,6071,6086,344,327,323,4,21,5738,0.9877675840978594,0.938953488372093,0.0006966213862765587,0.96274217585693
internvl3_vqav2,internvl3,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,0.536575436592102,12,22389,3796,6071,6031,289,271,267,4,22,5738,0.985239852398524,0.9238754325259516,0.0006966213862765587,0.9535714285714286
internvl3_vqav2,internvl3,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,full,0.536575436592102,12,22389,3796,6071,6086,344,326,322,4,22,5738,0.9877300613496932,0.936046511627907,0.0006966213862765587,0.9611940298507463
internvl3_vqav2,internvl3,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,0.5093883872032166,1,22389,3796,6071,6031,289,261,260,1,29,5741,0.9961685823754789,0.8996539792387543,0.00017415534656913968,0.9454545454545454
internvl3_vqav2,internvl3,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,full,0.5093883872032166,1,22389,3796,6071,6086,344,316,315,1,29,5741,0.9968354430379747,0.9156976744186046,0.00017415534656913968,0.9545454545454546
internvl3_vqav2,internvl3,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,0.5236140489578247,4,22389,3796,6071,6031,289,267,267,0,22,5742,1.0,0.9238754325259516,0.0,0.960431654676259
internvl3_vqav2,internvl3,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,full,0.5236140489578247,4,22389,3796,6071,6086,344,322,322,0,22,5742,1.0,0.936046511627907,0.0,0.9669669669669669
internvl3_vqav2,internvl3,vqav2,without_std_diff,metric,std_diff,27,canonical_finite,0.5092995166778564,1,22389,3796,6071,6031,289,272,268,4,21,5738,0.9852941176470589,0.9273356401384083,0.0006966213862765587,0.9554367201426025
internvl3_vqav2,internvl3,vqav2,without_std_diff,metric,std_diff,27,full,0.5092995166778564,1,22389,3796,6071,6086,344,327,323,4,21,5738,0.9877675840978594,0.938953488372093,0.0006966213862765587,0.96274217585693
