job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_earthvqa,llava15,earthvqa,full_36d,full,,36,canonical_finite,0.890138566493988,196,22878,4047,5786,5697,42,34,34,0,8,5655,1.0,0.8095238095238095,0.0,0.8947368421052632
llava15_earthvqa,llava15,earthvqa,full_36d,full,,36,full,0.890138566493988,196,22878,4047,5786,5786,131,123,123,0,8,5655,1.0,0.9389312977099237,0.0,0.968503937007874
llava15_earthvqa,llava15,earthvqa,without_cos_sim,metric,cos_sim,27,canonical_finite,0.542056679725647,8,22878,4047,5786,5697,42,35,33,2,9,5653,0.9428571428571428,0.7857142857142857,0.00035366931918656057,0.8571428571428571
llava15_earthvqa,llava15,earthvqa,without_cos_sim,metric,cos_sim,27,full,0.542056679725647,8,22878,4047,5786,5786,131,124,122,2,9,5653,0.9838709677419355,0.9312977099236641,0.00035366931918656057,0.9568627450980393
llava15_earthvqa,llava15,earthvqa,without_l2_distance,metric,l2_distance,27,canonical_finite,0.8626616597175598,235,22878,4047,5786,5697,42,36,35,1,7,5654,0.9722222222222222,0.8333333333333334,0.00017683465959328028,0.8974358974358975
llava15_earthvqa,llava15,earthvqa,without_l2_distance,metric,l2_distance,27,full,0.8626616597175598,235,22878,4047,5786,5786,131,125,124,1,7,5654,0.992,0.9465648854961832,0.00017683465959328028,0.96875
llava15_earthvqa,llava15,earthvqa,without_mean_diff,metric,mean_diff,27,canonical_finite,0.8312479853630066,132,22878,4047,5786,5697,42,36,35,1,7,5654,0.9722222222222222,0.8333333333333334,0.00017683465959328028,0.8974358974358975
llava15_earthvqa,llava15,earthvqa,without_mean_diff,metric,mean_diff,27,full,0.8312479853630066,132,22878,4047,5786,5786,131,125,124,1,7,5654,0.992,0.9465648854961832,0.00017683465959328028,0.96875
llava15_earthvqa,llava15,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,0.8471249938011169,445,22878,4047,5786,5697,42,34,34,0,8,5655,1.0,0.8095238095238095,0.0,0.8947368421052632
llava15_earthvqa,llava15,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.8471249938011169,445,22878,4047,5786,5786,131,123,123,0,8,5655,1.0,0.9389312977099237,0.0,0.968503937007874
llava15_earthvqa,llava15,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,0.8357624411582947,222,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.00017683465959328028,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.8357624411582947,222,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709677,0.9389312977099237,0.00017683465959328028,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,0.7275335192680359,315,22878,4047,5786,5697,42,44,37,7,5,5648,0.8409090909090909,0.8809523809523809,0.001237842617152962,0.8604651162790697
llava15_earthvqa,llava15,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7275335192680359,315,22878,4047,5786,5786,131,133,126,7,5,5648,0.9473684210526315,0.9618320610687023,0.001237842617152962,0.9545454545454546
llava15_earthvqa,llava15,earthvqa,without_std_diff,metric,std_diff,27,canonical_finite,0.876243531703949,205,22878,4047,5786,5697,42,36,34,2,8,5653,0.9444444444444444,0.8095238095238095,0.00035366931918656057,0.8717948717948718
llava15_earthvqa,llava15,earthvqa,without_std_diff,metric,std_diff,27,full,0.876243531703949,205,22878,4047,5786,5786,131,125,123,2,8,5653,0.984,0.9389312977099237,0.00035366931918656057,0.9609375
