job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_vqav2,llava15,vqav2,full_36d,full,,36,canonical_finite,0.5741958618164062,284,22394,3806,6071,6013,43,28,27,1,16,5969,0.9642857142857143,0.627906976744186,0.00016750418760469013,0.7605633802816901
llava15_vqav2,llava15,vqav2,full_36d,full,,36,full,0.5741958618164062,284,22394,3806,6071,6094,124,109,108,1,16,5969,0.9908256880733946,0.8709677419354839,0.00016750418760469013,0.927038626609442
llava15_vqav2,llava15,vqav2,without_cos_sim,metric,cos_sim,27,canonical_finite,0.46060848236083984,555,22394,3806,6071,6013,43,27,26,1,17,5969,0.9629629629629629,0.6046511627906976,0.00016750418760469013,0.7428571428571429
llava15_vqav2,llava15,vqav2,without_cos_sim,metric,cos_sim,27,full,0.46060848236083984,555,22394,3806,6071,6094,124,108,107,1,17,5969,0.9907407407407407,0.8629032258064516,0.00016750418760469013,0.9224137931034483
llava15_vqav2,llava15,vqav2,without_l2_distance,metric,l2_distance,27,canonical_finite,0.5081201195716858,3,22394,3806,6071,6013,43,50,27,23,16,5947,0.54,0.627906976744186,0.0038525963149078726,0.5806451612903226
llava15_vqav2,llava15,vqav2,without_l2_distance,metric,l2_distance,27,full,0.5081201195716858,3,22394,3806,6071,6094,124,131,108,23,16,5947,0.8244274809160306,0.8709677419354839,0.0038525963149078726,0.8470588235294118
llava15_vqav2,llava15,vqav2,without_mean_diff,metric,mean_diff,27,canonical_finite,0.20224986970424652,771,22394,3806,6071,6013,43,50,27,23,16,5947,0.54,0.627906976744186,0.0038525963149078726,0.5806451612903226
llava15_vqav2,llava15,vqav2,without_mean_diff,metric,mean_diff,27,full,0.20224986970424652,771,22394,3806,6071,6094,124,131,108,23,16,5947,0.8244274809160306,0.8709677419354839,0.0038525963149078726,0.8470588235294118
llava15_vqav2,llava15,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,0.5376258492469788,123,22394,3806,6071,6013,43,59,26,33,17,5937,0.4406779661016949,0.6046511627906976,0.005527638190954774,0.5098039215686274
llava15_vqav2,llava15,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,full,0.5376258492469788,123,22394,3806,6071,6094,124,140,107,33,17,5937,0.7642857142857142,0.8629032258064516,0.005527638190954774,0.8106060606060606
llava15_vqav2,llava15,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,0.6002439856529236,237,22394,3806,6071,6013,43,39,27,12,16,5958,0.6923076923076923,0.627906976744186,0.0020100502512562816,0.6585365853658537
llava15_vqav2,llava15,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,full,0.6002439856529236,237,22394,3806,6071,6094,124,120,108,12,16,5958,0.9,0.8709677419354839,0.0020100502512562816,0.8852459016393442
llava15_vqav2,llava15,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,0.8173969388008118,522,22394,3806,6071,6013,43,27,26,1,17,5969,0.9629629629629629,0.6046511627906976,0.00016750418760469013,0.7428571428571429
llava15_vqav2,llava15,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,full,0.8173969388008118,522,22394,3806,6071,6094,124,108,107,1,17,5969,0.9907407407407407,0.8629032258064516,0.00016750418760469013,0.9224137931034483
llava15_vqav2,llava15,vqav2,without_std_diff,metric,std_diff,27,canonical_finite,0.5264700651168823,638,22394,3806,6071,6013,43,28,27,1,16,5969,0.9642857142857143,0.627906976744186,0.00016750418760469013,0.7605633802816901
llava15_vqav2,llava15,vqav2,without_std_diff,metric,std_diff,27,full,0.5264700651168823,638,22394,3806,6071,6094,124,109,108,1,16,5969,0.9908256880733946,0.8709677419354839,0.00016750418760469013,0.927038626609442
