job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
qwen25_vl_earthvqa,qwen25_vl,earthvqa,full_36d,full,,36,canonical_finite,0.6919712424278259,50,22831,4041,5779,5717,114,105,104,1,10,5602,0.9904761904761905,0.9122807017543859,0.0001784758165268606,0.9497716894977168
qwen25_vl_earthvqa,qwen25_vl,earthvqa,full_36d,full,,36,full,0.6919712424278259,50,22831,4041,5779,5772,169,160,159,1,10,5602,0.99375,0.9408284023668639,0.0001784758165268606,0.9665653495440729
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_cos_sim,metric,cos_sim,27,canonical_finite,0.9599476456642151,580,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_cos_sim,metric,cos_sim,27,full,0.9599476456642151,580,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_l2_distance,metric,l2_distance,27,canonical_finite,0.5318490266799927,6,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_l2_distance,metric,l2_distance,27,full,0.5318490266799927,6,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_mean_diff,metric,mean_diff,27,canonical_finite,0.8064457178115845,105,22831,4041,5779,5717,114,105,104,1,10,5602,0.9904761904761905,0.9122807017543859,0.0001784758165268606,0.9497716894977168
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_mean_diff,metric,mean_diff,27,full,0.8064457178115845,105,22831,4041,5779,5772,169,160,159,1,10,5602,0.99375,0.9408284023668639,0.0001784758165268606,0.9665653495440729
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,0.611878514289856,28,22831,4041,5779,5717,114,105,104,1,10,5602,0.9904761904761905,0.9122807017543859,0.0001784758165268606,0.9497716894977168
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.611878514289856,28,22831,4041,5779,5772,169,160,159,1,10,5602,0.99375,0.9408284023668639,0.0001784758165268606,0.9665653495440729
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,0.499284565448761,22,22831,4041,5779,5717,114,108,104,4,10,5599,0.9629629629629629,0.9122807017543859,0.0007139032661074424,0.9369369369369369
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.499284565448761,22,22831,4041,5779,5772,169,163,159,4,10,5599,0.9754601226993865,0.9408284023668639,0.0007139032661074424,0.9578313253012049
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,0.9718806743621826,537,22831,4041,5779,5717,114,105,103,2,11,5601,0.9809523809523809,0.9035087719298246,0.0003569516330537212,0.9406392694063926
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.9718806743621826,537,22831,4041,5779,5772,169,160,158,2,11,5601,0.9875,0.9349112426035503,0.0003569516330537212,0.9604863221884499
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_std_diff,metric,std_diff,27,canonical_finite,0.8012661933898926,101,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_std_diff,metric,std_diff,27,full,0.8012661933898926,101,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
