job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
qwen25_vl_lingoqa,qwen25_vl,lingoqa,full_36d,full,,36,canonical_finite,0.5232637524604797,6,22745,4067,5830,5786,141,105,103,2,38,5643,0.9809523809523809,0.7304964539007093,0.000354295837023915,0.8373983739837398
qwen25_vl_lingoqa,qwen25_vl,lingoqa,full_36d,full,,36,full,0.5232637524604797,6,22745,4067,5830,5824,179,143,141,2,38,5643,0.986013986013986,0.7877094972067039,0.000354295837023915,0.8757763975155279
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_cos_sim,metric,cos_sim,27,canonical_finite,0.622299075126648,801,22745,4067,5830,5786,141,129,105,24,36,5621,0.813953488372093,0.7446808510638298,0.004251550044286979,0.7777777777777778
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.622299075126648,801,22745,4067,5830,5824,179,167,143,24,36,5621,0.8562874251497006,0.7988826815642458,0.004251550044286979,0.8265895953757225
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_l2_distance,metric,l2_distance,27,canonical_finite,0.7523015737533569,219,22745,4067,5830,5786,141,128,104,24,37,5621,0.8125,0.7375886524822695,0.004251550044286979,0.7732342007434945
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.7523015737533569,219,22745,4067,5830,5824,179,166,142,24,37,5621,0.8554216867469879,0.7932960893854749,0.004251550044286979,0.8231884057971014
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_mean_diff,metric,mean_diff,27,canonical_finite,0.7712914943695068,1033,22745,4067,5830,5786,141,128,105,23,36,5622,0.8203125,0.7446808510638298,0.004074402125775022,0.7806691449814126
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_mean_diff,metric,mean_diff,27,full,0.7712914943695068,1033,22745,4067,5830,5824,179,166,143,23,36,5622,0.8614457831325302,0.7988826815642458,0.004074402125775022,0.8289855072463768
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,canonical_finite,0.562300443649292,15,22745,4067,5830,5786,141,105,103,2,38,5643,0.9809523809523809,0.7304964539007093,0.000354295837023915,0.8373983739837398
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.562300443649292,15,22745,4067,5830,5824,179,143,141,2,38,5643,0.986013986013986,0.7877094972067039,0.000354295837023915,0.8757763975155279
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,canonical_finite,0.5285934805870056,5,22745,4067,5830,5786,141,101,101,0,40,5645,1.0,0.7163120567375887,0.0,0.8347107438016529
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.5285934805870056,5,22745,4067,5830,5824,179,139,139,0,40,5645,1.0,0.776536312849162,0.0,0.8742138364779874
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,canonical_finite,0.7187524437904358,131,22745,4067,5830,5786,141,106,104,2,37,5643,0.9811320754716981,0.7375886524822695,0.000354295837023915,0.8421052631578947
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7187524437904358,131,22745,4067,5830,5824,179,144,142,2,37,5643,0.9861111111111112,0.7932960893854749,0.000354295837023915,0.8792569659442725
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_std_diff,metric,std_diff,27,canonical_finite,0.5046698451042175,0,22745,4067,5830,5786,141,136,113,23,28,5622,0.8308823529411765,0.8014184397163121,0.004074402125775022,0.8158844765342961
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_std_diff,metric,std_diff,27,full,0.5046698451042175,0,22745,4067,5830,5824,179,174,151,23,28,5622,0.867816091954023,0.8435754189944135,0.004074402125775022,0.8555240793201133
