job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_earthvqa,internvl3,earthvqa,full_36d,full,,36,full,0.9902076125144958,1054,22824,4039,5764,5773,36,311,293,293,0,18,5462,1.0,0.9421221864951768,0.0,0.9701986754966888
internvl3_earthvqa,internvl3,earthvqa,full_36d,full,,36,strict_finite,0.9902076125144958,1054,22824,4039,5764,5551,36,89,71,71,0,18,5462,1.0,0.797752808988764,0.0,0.8875
internvl3_lingoqa,internvl3,lingoqa,full_36d,full,,36,full,0.2591981887817383,574,22757,4069,5827,5827,36,324,326,319,7,5,5496,0.9785276073619632,0.984567901234568,0.0012720334363074,0.9815384615384616
internvl3_lingoqa,internvl3,lingoqa,full_36d,full,,36,strict_finite,0.2591981887817383,574,22757,4069,5827,5596,36,93,95,88,7,5,5496,0.9263157894736842,0.946236559139785,0.0012720334363074,0.9361702127659576
internvl3_vqav2,internvl3,vqav2,full_36d,full,,36,full,0.5240898132324219,4,22389,3796,6071,6086,36,344,322,322,0,22,5742,1.0,0.936046511627907,0.0,0.9669669669669668
internvl3_vqav2,internvl3,vqav2,full_36d,full,,36,strict_finite,0.5240898132324219,4,22389,3796,6071,5841,36,99,77,77,0,22,5742,1.0,0.7777777777777778,0.0,0.875
llava15_earthvqa,llava15,earthvqa,full_36d,full,,36,full,0.890138566493988,196,22878,4047,5786,5786,36,131,123,123,0,8,5655,1.0,0.9389312977099236,0.0,0.968503937007874
llava15_earthvqa,llava15,earthvqa,full_36d,full,,36,strict_finite,0.890138566493988,196,22878,4047,5786,5669,36,14,6,6,0,8,5655,1.0,0.4285714285714285,0.0,0.6
llava15_lingoqa,llava15,lingoqa,full_36d,full,,36,full,0.5074850916862488,9,22762,4070,5830,5830,36,140,122,120,2,20,5688,0.9836065573770492,0.8571428571428571,0.0003514938488576,0.916030534351145
llava15_lingoqa,llava15,lingoqa,full_36d,full,,36,strict_finite,0.5074850916862488,9,22762,4070,5830,5719,36,29,11,9,2,20,5688,0.8181818181818182,0.3103448275862069,0.0003514938488576,0.45
llava15_vqav2,llava15,vqav2,full_36d,full,,36,full,0.5741958618164062,284,22394,3806,6071,6094,36,124,109,108,1,16,5969,0.9908256880733946,0.8709677419354839,0.0001675041876046,0.927038626609442
llava15_vqav2,llava15,vqav2,full_36d,full,,36,strict_finite,0.5741958618164062,284,22394,3806,6071,5993,36,23,8,7,1,16,5969,0.875,0.3043478260869565,0.0001675041876046,0.4516129032258064
qwen25_vl_earthvqa,qwen25_vl,earthvqa,full_36d,full,,36,full,0.6919712424278259,50,22831,4041,5779,5772,36,169,160,159,1,10,5602,0.99375,0.940828402366864,0.0001784758165268,0.9665653495440728
qwen25_vl_earthvqa,qwen25_vl,earthvqa,full_36d,full,,36,strict_finite,0.6919712424278259,50,22831,4041,5779,5659,36,56,47,46,1,10,5602,0.9787234042553192,0.8214285714285714,0.0001784758165268,0.8932038834951457
qwen25_vl_lingoqa,qwen25_vl,lingoqa,full_36d,full,,36,full,0.5232637524604797,6,22745,4067,5830,5824,36,179,143,141,2,38,5643,0.986013986013986,0.7877094972067039,0.0003542958370239,0.8757763975155279
qwen25_vl_lingoqa,qwen25_vl,lingoqa,full_36d,full,,36,strict_finite,0.5232637524604797,6,22745,4067,5830,5732,36,87,51,49,2,38,5643,0.9607843137254902,0.5632183908045977,0.0003542958370239,0.7101449275362319
qwen25_vl_vqav2,qwen25_vl,vqav2,full_36d,full,,36,full,0.6586507558822632,93,22380,3802,6057,6084,36,190,138,137,1,53,5893,0.9927536231884058,0.7210526315789474,0.000169664065151,0.8353658536585366
qwen25_vl_vqav2,qwen25_vl,vqav2,full_36d,full,,36,strict_finite,0.6586507558822632,93,22380,3802,6057,5993,36,99,47,46,1,53,5893,0.9787234042553192,0.4646464646464646,0.000169664065151,0.6301369863013698
internvl3_earthvqa,internvl3,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.5050498247146606,374,22824,4039,5764,5773,36,311,297,296,1,15,5461,0.9966329966329966,0.9517684887459807,0.0001830831197363,0.9736842105263158
internvl3_earthvqa,internvl3,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.5050498247146606,374,22824,4039,5764,5551,36,89,75,74,1,15,5461,0.9866666666666668,0.8314606741573034,0.0001830831197363,0.902439024390244
internvl3_lingoqa,internvl3,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.8041906356811523,155,22757,4069,5827,5827,36,324,319,317,2,7,5501,0.9937304075235108,0.9783950617283952,0.0003634381246592,0.9860031104199068
internvl3_lingoqa,internvl3,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.8041906356811523,155,22757,4069,5827,5596,36,93,88,86,2,7,5501,0.9772727272727272,0.9247311827956988,0.0003634381246592,0.9502762430939228
internvl3_vqav2,internvl3,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,full,0.536575436592102,12,22389,3796,6071,6086,36,344,326,322,4,22,5738,0.9877300613496932,0.936046511627907,0.0006966213862765,0.9611940298507464
internvl3_vqav2,internvl3,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.536575436592102,12,22389,3796,6071,5841,36,99,81,77,4,22,5738,0.9506172839506172,0.7777777777777778,0.0006966213862765,0.8555555555555555
llava15_earthvqa,llava15,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.8471249938011169,445,22878,4047,5786,5786,36,131,123,123,0,8,5655,1.0,0.9389312977099236,0.0,0.968503937007874
llava15_earthvqa,llava15,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.8471249938011169,445,22878,4047,5786,5669,36,14,6,6,0,8,5655,1.0,0.4285714285714285,0.0,0.6
llava15_lingoqa,llava15,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.3311997354030609,461,22762,4070,5830,5830,36,140,142,120,22,20,5668,0.8450704225352113,0.8571428571428571,0.003866432337434,0.851063829787234
llava15_lingoqa,llava15,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.3311997354030609,461,22762,4070,5830,5719,36,29,31,9,22,20,5668,0.2903225806451613,0.3103448275862069,0.003866432337434,0.3
llava15_vqav2,llava15,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,full,0.5376258492469788,123,22394,3806,6071,6094,36,124,140,107,33,17,5937,0.7642857142857142,0.8629032258064516,0.0055276381909547,0.8106060606060606
llava15_vqav2,llava15,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.5376258492469788,123,22394,3806,6071,5993,36,23,39,6,33,17,5937,0.1538461538461538,0.2608695652173913,0.0055276381909547,0.1935483870967742
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.611878514289856,28,22831,4041,5779,5772,36,169,160,159,1,10,5602,0.99375,0.940828402366864,0.0001784758165268,0.9665653495440728
qwen25_vl_earthvqa,qwen25_vl,earthvqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.611878514289856,28,22831,4041,5779,5659,36,56,47,46,1,10,5602,0.9787234042553192,0.8214285714285714,0.0001784758165268,0.8932038834951457
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.562300443649292,15,22745,4067,5830,5824,36,179,143,141,2,38,5643,0.986013986013986,0.7877094972067039,0.0003542958370239,0.8757763975155279
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.562300443649292,15,22745,4067,5830,5732,36,87,51,49,2,38,5643,0.9607843137254902,0.5632183908045977,0.0003542958370239,0.7101449275362319
qwen25_vl_vqav2,qwen25_vl,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,full,0.603485107421875,169,22380,3802,6057,6084,36,190,144,137,7,53,5887,0.9513888888888888,0.7210526315789474,0.001187648456057,0.8203592814371258
qwen25_vl_vqav2,qwen25_vl,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.603485107421875,169,22380,3802,6057,5993,36,99,53,46,7,53,5887,0.8679245283018868,0.4646464646464646,0.001187648456057,0.6052631578947368
internvl3_earthvqa,internvl3,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.9250953197479248,742,22824,4039,5764,5773,36,311,296,295,1,16,5461,0.9966216216216216,0.9485530546623794,0.0001830831197363,0.971993410214168
internvl3_earthvqa,internvl3,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.9250953197479248,742,22824,4039,5764,5551,36,89,74,73,1,16,5461,0.9864864864864864,0.8202247191011236,0.0001830831197363,0.8957055214723927
internvl3_lingoqa,internvl3,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.4089307785034179,408,22757,4069,5827,5827,36,324,318,317,1,7,5502,0.9968553459119496,0.9783950617283952,0.0001817190623296,0.9875389408099688
internvl3_lingoqa,internvl3,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.4089307785034179,408,22757,4069,5827,5596,36,93,87,86,1,7,5502,0.9885057471264368,0.9247311827956988,0.0001817190623296,0.9555555555555556
internvl3_vqav2,internvl3,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,full,0.5093883872032166,1,22389,3796,6071,6086,36,344,316,315,1,29,5741,0.9968354430379748,0.9156976744186046,0.0001741553465691,0.9545454545454546
internvl3_vqav2,internvl3,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.5093883872032166,1,22389,3796,6071,5841,36,99,74,73,1,26,5741,0.9864864864864864,0.7373737373737373,0.0001741553465691,0.8439306358381503
llava15_earthvqa,llava15,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.8357624411582947,222,22878,4047,5786,5786,36,131,124,123,1,8,5654,0.9919354838709676,0.9389312977099236,0.0001768346595932,0.9647058823529412
llava15_earthvqa,llava15,earthvqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.8357624411582947,222,22878,4047,5786,5669,36,14,7,6,1,8,5654,0.8571428571428571,0.4285714285714285,0.0001768346595932,0.5714285714285714
llava15_lingoqa,llava15,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.4972730278968811,4,22762,4070,5830,5830,36,140,166,120,46,20,5644,0.7228915662650602,0.8571428571428571,0.0080843585237258,0.7843137254901961
llava15_lingoqa,llava15,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.4972730278968811,4,22762,4070,5830,5719,36,29,55,9,46,20,5644,0.1636363636363636,0.3103448275862069,0.0080843585237258,0.2142857142857142
