configuration,ablation_family,removed_component,feature_count,cohort,tasks,precision,recall,f1,false_positive_rate,full_f1,delta_f1_pp,fpr_percent
full_36d,full,,36,full,9,0.9917197180016443,0.8865965585887147,0.9342205336320796,0.00027705191016347774,0.9342205336320796,0.0,0.027705191016347774
full_36d,full,,36,strict_finite,9,0.9486365255435145,0.601591628336728,0.7148632125916125,0.00027705191016347774,0.7148632125916125,0.0,0.027705191016347774
without_pair_24_25,layer_pair,"(24,25)",24,full,9,0.946511386358889,0.8860864415460035,0.9126395785216516,0.0013730703631853777,0.9342205336320796,-2.1580955110428013,0.13730703631853777
without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,9,0.7962397398515582,0.5981165425539378,0.6678256865625123,0.0013730703631853777,0.7148632125916125,-4.703752602910017,0.13730703631853777
without_pair_26_27,layer_pair,"(26,27)",24,full,9,0.9533999537118844,0.8778596237044428,0.9094911025969051,0.0012804560254797333,0.9342205336320796,-2.4729431035174443,0.12804560254797331
without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,9,0.8078532215011344,0.5845543946376187,0.6586415605097623,0.0012804560254797333,0.7148632125916125,-5.622165208185015,0.12804560254797331
without_pair_6_7,layer_pair,"(6,7)",24,full,9,0.9642815352298655,0.8885942410764741,0.9225546580679183,0.0009796035980186332,0.9342205336320796,-1.166587556416132,0.09796035980186332
without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,9,0.823487633328059,0.6212190785875084,0.6881785956669063,0.0009796035980186332,0.7148632125916125,-2.668461692470614,0.09796035980186332
without_cos_sim,metric,cos_sim,27,full,9,0.9504214745959233,0.8855440264851507,0.914669956757122,0.0021180594874276332,0.9342205336320796,-1.9550576874957537,0.21180594874276332
without_cos_sim,metric,cos_sim,27,strict_finite,9,0.8100529820595233,0.5873348590501704,0.6479515612560853,0.0021180594874276332,0.7148632125916125,-6.691165133552712,0.21180594874276332
without_l2_distance,metric,l2_distance,27,full,9,0.9598768033067699,0.8877025938334973,0.9202063034908762,0.0010978028420901887,0.9342205336320796,-1.4014230141203399,0.10978028420901888
without_l2_distance,metric,l2_distance,27,strict_finite,9,0.8434204529732985,0.6095381236766234,0.6898759733418097,0.0010978028420901887,0.7148632125916125,-2.498723924980273,0.10978028420901888
without_mean_diff,metric,mean_diff,27,full,9,0.9140923037881302,0.8879660558440716,0.8968498769368995,0.0025974954200891,0.9342205336320796,-3.7370656695180027,0.25974954200891
without_mean_diff,metric,mean_diff,27,strict_finite,9,0.7393743292180786,0.6095668234341105,0.6529280963195148,0.0025974954200891,0.7148632125916125,-6.193511627209769,0.25974954200891
without_std_diff,metric,std_diff,27,full,9,0.9736715488549594,0.8924553445171856,0.9296270395264808,0.000804802097765,0.9342205336320796,-0.4593494105598728,0.0804802097765
without_std_diff,metric,std_diff,27,strict_finite,9,0.8699456990386304,0.6131495649341383,0.7029817006055743,0.000804802097765,0.7148632125916125,-1.1881511986038151,0.0804802097765
