job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_lingoqa,llava15,lingoqa,full_36d,full,,36,full,0.5074850916862488,9,22762,4070,5830,5830,36,140,122,120,2,20,5688,0.9836065573770492,0.8571428571428571,0.000351493848857645,0.916030534351145
llava15_lingoqa,llava15,lingoqa,full_36d,full,,36,strict_finite,0.5074850916862488,9,22762,4070,5830,5719,36,29,11,9,2,20,5688,0.8181818181818182,0.3103448275862069,0.000351493848857645,0.45
llava15_lingoqa,llava15,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.7748519778251648,485,22762,4070,5830,5830,36,140,120,118,2,22,5688,0.9833333333333333,0.8428571428571429,0.000351493848857645,0.9076923076923077
llava15_lingoqa,llava15,lingoqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.7748519778251648,485,22762,4070,5830,5719,36,29,9,7,2,22,5688,0.7777777777777778,0.2413793103448276,0.000351493848857645,0.3684210526315789
llava15_lingoqa,llava15,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.506959855556488,2,22762,4070,5830,5830,36,140,121,120,1,20,5689,0.9917355371900827,0.8571428571428571,0.0001757469244288225,0.9195402298850575
llava15_lingoqa,llava15,lingoqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.506959855556488,2,22762,4070,5830,5719,36,29,10,9,1,20,5689,0.9,0.3103448275862069,0.0001757469244288225,0.46153846153846156
llava15_lingoqa,llava15,lingoqa,without_mean_diff,metric,mean_diff,27,full,0.5049991607666016,10,22762,4070,5830,5830,36,140,190,120,70,20,5620,0.631578947368421,0.8571428571428571,0.012302284710017574,0.7272727272727273
llava15_lingoqa,llava15,lingoqa,without_mean_diff,metric,mean_diff,27,strict_finite,0.5049991607666016,10,22762,4070,5830,5719,36,29,79,9,70,20,5620,0.11392405063291139,0.3103448275862069,0.012302284710017574,0.16666666666666666
llava15_lingoqa,llava15,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.3311997354030609,461,22762,4070,5830,5830,36,140,142,120,22,20,5668,0.8450704225352113,0.8571428571428571,0.003866432337434095,0.851063829787234
llava15_lingoqa,llava15,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.3311997354030609,461,22762,4070,5830,5719,36,29,31,9,22,20,5668,0.2903225806451613,0.3103448275862069,0.003866432337434095,0.3
llava15_lingoqa,llava15,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.4972730278968811,4,22762,4070,5830,5830,36,140,166,120,46,20,5644,0.7228915662650602,0.8571428571428571,0.008084358523725835,0.7843137254901961
llava15_lingoqa,llava15,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.4972730278968811,4,22762,4070,5830,5719,36,29,55,9,46,20,5644,0.16363636363636364,0.3103448275862069,0.008084358523725835,0.21428571428571427
llava15_lingoqa,llava15,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.5035026669502258,5,22762,4070,5830,5830,36,140,145,120,25,20,5665,0.8275862068965517,0.8571428571428571,0.004393673110720563,0.8421052631578947
llava15_lingoqa,llava15,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.5035026669502258,5,22762,4070,5830,5719,36,29,34,9,25,20,5665,0.2647058823529412,0.3103448275862069,0.004393673110720563,0.2857142857142857
llava15_lingoqa,llava15,lingoqa,without_std_diff,metric,std_diff,27,full,0.28055912256240845,536,22762,4070,5830,5830,36,140,126,120,6,20,5684,0.9523809523809523,0.8571428571428571,0.001054481546572935,0.9022556390977443
llava15_lingoqa,llava15,lingoqa,without_std_diff,metric,std_diff,27,strict_finite,0.28055912256240845,536,22762,4070,5830,5719,36,29,15,9,6,20,5684,0.6,0.3103448275862069,0.001054481546572935,0.4090909090909091
