job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_vqav2,llava15,vqav2,full_36d,full,,36,full,0.5741958618164062,284,22394,3806,6071,6094,36,124,109,108,1,16,5969,0.9908256880733946,0.8709677419354839,0.00016750418760469013,0.927038626609442
llava15_vqav2,llava15,vqav2,full_36d,full,,36,strict_finite,0.5741958618164062,284,22394,3806,6071,5993,36,23,8,7,1,16,5969,0.875,0.30434782608695654,0.00016750418760469013,0.45161290322580644
llava15_vqav2,llava15,vqav2,without_cos_sim,metric,cos_sim,27,full,0.46060848236083984,555,22394,3806,6071,6094,36,124,108,107,1,17,5969,0.9907407407407407,0.8629032258064516,0.00016750418760469013,0.9224137931034483
llava15_vqav2,llava15,vqav2,without_cos_sim,metric,cos_sim,27,strict_finite,0.46060848236083984,555,22394,3806,6071,5993,36,23,7,6,1,17,5969,0.8571428571428571,0.2608695652173913,0.00016750418760469013,0.4
llava15_vqav2,llava15,vqav2,without_l2_distance,metric,l2_distance,27,full,0.5081201195716858,3,22394,3806,6071,6094,36,124,131,108,23,16,5947,0.8244274809160306,0.8709677419354839,0.0038525963149078726,0.8470588235294118
llava15_vqav2,llava15,vqav2,without_l2_distance,metric,l2_distance,27,strict_finite,0.5081201195716858,3,22394,3806,6071,5993,36,23,30,7,23,16,5947,0.23333333333333334,0.30434782608695654,0.0038525963149078726,0.2641509433962264
llava15_vqav2,llava15,vqav2,without_mean_diff,metric,mean_diff,27,full,0.20224986970424652,771,22394,3806,6071,6094,36,124,131,108,23,16,5947,0.8244274809160306,0.8709677419354839,0.0038525963149078726,0.8470588235294118
llava15_vqav2,llava15,vqav2,without_mean_diff,metric,mean_diff,27,strict_finite,0.20224986970424652,771,22394,3806,6071,5993,36,23,30,7,23,16,5947,0.23333333333333334,0.30434782608695654,0.0038525963149078726,0.2641509433962264
llava15_vqav2,llava15,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,full,0.5376258492469788,123,22394,3806,6071,6094,36,124,140,107,33,17,5937,0.7642857142857142,0.8629032258064516,0.005527638190954774,0.8106060606060606
llava15_vqav2,llava15,vqav2,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.5376258492469788,123,22394,3806,6071,5993,36,23,39,6,33,17,5937,0.15384615384615385,0.2608695652173913,0.005527638190954774,0.1935483870967742
llava15_vqav2,llava15,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,full,0.6002439856529236,237,22394,3806,6071,6094,36,124,120,108,12,16,5958,0.9,0.8709677419354839,0.0020100502512562816,0.8852459016393442
llava15_vqav2,llava15,vqav2,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.6002439856529236,237,22394,3806,6071,5993,36,23,19,7,12,16,5958,0.3684210526315789,0.30434782608695654,0.0020100502512562816,0.3333333333333333
llava15_vqav2,llava15,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,full,0.8173969388008118,522,22394,3806,6071,6094,36,124,108,107,1,17,5969,0.9907407407407407,0.8629032258064516,0.00016750418760469013,0.9224137931034483
llava15_vqav2,llava15,vqav2,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.8173969388008118,522,22394,3806,6071,5993,36,23,7,6,1,17,5969,0.8571428571428571,0.2608695652173913,0.00016750418760469013,0.4
llava15_vqav2,llava15,vqav2,without_std_diff,metric,std_diff,27,full,0.5264700651168823,638,22394,3806,6071,6094,36,124,109,108,1,16,5969,0.9908256880733946,0.8709677419354839,0.00016750418760469013,0.927038626609442
llava15_vqav2,llava15,vqav2,without_std_diff,metric,std_diff,27,strict_finite,0.5264700651168823,638,22394,3806,6071,5993,36,23,8,7,1,16,5969,0.875,0.30434782608695654,0.00016750418760469013,0.45161290322580644
