job,model,dataset,configuration,ablation_family,removed_component,feature_count,cohort,selection_threshold,best_iteration,model_fit_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,strict_finite_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
qwen25_vl_lingoqa,qwen25_vl,lingoqa,full_36d,full,,36,full,0.5232637524604797,6,22745,4067,5830,5824,36,179,143,141,2,38,5643,0.986013986013986,0.7877094972067039,0.000354295837023915,0.8757763975155279
qwen25_vl_lingoqa,qwen25_vl,lingoqa,full_36d,full,,36,strict_finite,0.5232637524604797,6,22745,4067,5830,5732,36,87,51,49,2,38,5643,0.9607843137254902,0.5632183908045977,0.000354295837023915,0.7101449275362319
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_cos_sim,metric,cos_sim,27,full,0.622299075126648,801,22745,4067,5830,5824,36,179,167,143,24,36,5621,0.8562874251497006,0.7988826815642458,0.004251550044286979,0.8265895953757225
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_cos_sim,metric,cos_sim,27,strict_finite,0.622299075126648,801,22745,4067,5830,5732,36,87,75,51,24,36,5621,0.68,0.5862068965517241,0.004251550044286979,0.6296296296296297
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_l2_distance,metric,l2_distance,27,full,0.7523015737533569,219,22745,4067,5830,5824,36,179,166,142,24,37,5621,0.8554216867469879,0.7932960893854749,0.004251550044286979,0.8231884057971014
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_l2_distance,metric,l2_distance,27,strict_finite,0.7523015737533569,219,22745,4067,5830,5732,36,87,74,50,24,37,5621,0.6756756756756757,0.5747126436781609,0.004251550044286979,0.6211180124223602
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_mean_diff,metric,mean_diff,27,full,0.7712914943695068,1033,22745,4067,5830,5824,36,179,166,143,23,36,5622,0.8614457831325302,0.7988826815642458,0.004074402125775022,0.8289855072463768
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_mean_diff,metric,mean_diff,27,strict_finite,0.7712914943695068,1033,22745,4067,5830,5732,36,87,74,51,23,36,5622,0.6891891891891891,0.5862068965517241,0.004074402125775022,0.6335403726708074
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,full,0.562300443649292,15,22745,4067,5830,5824,36,179,143,141,2,38,5643,0.986013986013986,0.7877094972067039,0.000354295837023915,0.8757763975155279
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_24_25,layer_pair,"(24,25)",24,strict_finite,0.562300443649292,15,22745,4067,5830,5732,36,87,51,49,2,38,5643,0.9607843137254902,0.5632183908045977,0.000354295837023915,0.7101449275362319
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,full,0.5285934805870056,5,22745,4067,5830,5824,36,179,139,139,0,40,5645,1.0,0.776536312849162,0.0,0.8742138364779874
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_26_27,layer_pair,"(26,27)",24,strict_finite,0.5285934805870056,5,22745,4067,5830,5732,36,87,47,47,0,40,5645,1.0,0.5402298850574713,0.0,0.7014925373134329
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,full,0.7187524437904358,131,22745,4067,5830,5824,36,179,144,142,2,37,5643,0.9861111111111112,0.7932960893854749,0.000354295837023915,0.8792569659442725
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_pair_6_7,layer_pair,"(6,7)",24,strict_finite,0.7187524437904358,131,22745,4067,5830,5732,36,87,52,50,2,37,5643,0.9615384615384616,0.5747126436781609,0.000354295837023915,0.7194244604316546
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_std_diff,metric,std_diff,27,full,0.5046698451042175,0,22745,4067,5830,5824,36,179,174,151,23,28,5622,0.867816091954023,0.8435754189944135,0.004074402125775022,0.8555240793201133
qwen25_vl_lingoqa,qwen25_vl,lingoqa,without_std_diff,metric,std_diff,27,strict_finite,0.5046698451042175,0,22745,4067,5830,5732,36,87,82,59,23,28,5622,0.7195121951219512,0.6781609195402298,0.004074402125775022,0.6982248520710059
