task,Full 36D,"w/o (6,7)","w/o (24,25)","w/o (26,27)",w/o CosSim,w/o MeanDiff,w/o StdDiff,w/o L2
InternVL3-8B / EarthVQA,96.31147540983608,96.35627530364373,96.7479674796748,96.53767820773932,96.34146341463415,96.09856262833677,96.52351738241308,96.31147540983608
InternVL3-8B / LingoQA,97.8102189781022,97.79411764705883,98.33641404805917,98.51851851851852,90.54054054054053,97.79411764705883,97.7859778597786,97.97421731123389
InternVL3-8B / VQAv2,96.0431654676259,96.0431654676259,95.35714285714286,94.54545454545455,93.87040280210157,95.54367201426024,95.54367201426024,95.54367201426024
LLaVA-1.5-7B / EarthVQA,89.47368421052632,86.04651162790698,89.47368421052632,88.31168831168831,85.71428571428571,89.74358974358975,87.17948717948718,89.74358974358975
LLaVA-1.5-7B / LingoQA,75.55555555555556,60.17699115044248,61.81818181818181,50.74626865671642,72.72727272727273,43.0379746835443,72.3404255319149,76.40449438202246
LLaVA-1.5-7B / VQAv2,76.05633802816901,74.28571428571429,50.98039215686274,65.85365853658537,74.28571428571429,58.06451612903226,76.05633802816901,58.06451612903226
Qwen2.5-VL-7B / EarthVQA,94.97716894977168,94.06392694063926,94.97716894977168,93.69369369369367,95.41284403669724,94.97716894977168,95.41284403669724,95.41284403669724
Qwen2.5-VL-7B / LingoQA,83.73983739837398,84.21052631578947,83.73983739837398,83.47107438016529,77.77777777777779,78.06691449814126,81.58844765342961,77.32342007434944
Qwen2.5-VL-7B / VQAv2,76.52173913043478,75.21367521367522,74.57627118644068,71.81818181818181,73.33333333333333,74.57627118644068,76.52173913043478,76.85589519650655
Macro average,87.38768701426616,84.91010043916624,82.88967334500377,82.61069074097148,84.44484829248415,80.8780874977973,86.55027209073162,84.84823603305865
