task,Full 36D,"w/o (6,7)","w/o (24,25)","w/o (26,27)",w/o CosSim,w/o MeanDiff,w/o StdDiff,w/o L2
InternVL3-8B / EarthVQA,97.01986754966889,97.04918032786885,97.36842105263158,97.1993410214168,97.03947368421052,96.84908789386401,97.19008264462809,97.01986754966889
InternVL3-8B / LingoQA,98.15384615384616,98.14241486068111,98.60031104199068,98.75389408099689,91.93083573487031,98.14241486068111,98.13664596273291,98.29457364341084
InternVL3-8B / VQAv2,96.69669669669668,96.69669669669668,96.11940298507464,95.45454545454545,94.8604992657856,96.274217585693,96.274217585693,96.274217585693
LLaVA-1.5-7B / EarthVQA,96.8503937007874,95.45454545454545,96.8503937007874,96.47058823529412,95.68627450980391,96.875,96.09375,96.875
LLaVA-1.5-7B / LingoQA,91.6030534351145,84.21052631578947,85.1063829787234,78.43137254901961,90.76923076923076,72.72727272727273,90.22556390977444,91.95402298850576
LLaVA-1.5-7B / VQAv2,92.7038626609442,92.24137931034484,81.06060606060606,88.52459016393442,92.24137931034484,84.70588235294117,92.7038626609442,84.70588235294117
Qwen2.5-VL-7B / EarthVQA,96.65653495440728,96.048632218845,96.65653495440728,95.78313253012048,96.95121951219512,96.65653495440728,96.95121951219512,96.95121951219512
Qwen2.5-VL-7B / LingoQA,87.5776397515528,87.92569659442725,87.5776397515528,87.42138364779875,82.65895953757226,82.89855072463767,85.55240793201133,82.31884057971014
Qwen2.5-VL-7B / VQAv2,83.53658536585365,82.53012048192771,82.03592814371258,80.50314465408806,81.06508875739645,82.03592814371258,83.53658536585365,83.79204892966361
Macro average,93.42205336320795,92.25546580679182,91.26395785216516,90.94911025969051,91.4669956757122,89.68498769368995,92.96270395264808,92.02063034908761
