model,mode_name,observations,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_overhead_percent,overhead_ci95_low_percent,overhead_ci95_high_percent,tokens_per_second,throughput_change_percent,extra_peak_allocated_mb,answer_match_rate
Qwen2.5-VL-7B,Vanilla,500,764.4404571186751,727.0257736090571,951.3003719272092,0.0,,,18.784981702990493,0.0,0.0,1.0
Qwen2.5-VL-7B,Ranger-style,500,777.943058735691,738.8788657262921,971.1965174414216,1.7663379130808732,1.6116332076178874,1.925928782996034,18.4589345437927,-1.7356799402465595,0.0,1.0
Qwen2.5-VL-7B,Dr.DNA-style,500,793.6322536570951,753.7558428011835,995.545148383826,3.818714232950149,3.697483338348954,3.9348115416114213,18.09402268346383,-3.6782522892565006,0.0,1.0
Qwen2.5-VL-7B,Full SIEVE,500,813.6687164744362,773.0637018103153,1025.5947516532615,6.439776819415344,6.3023447644230925,6.574809560229264,17.648460250777212,-6.050160017096795,1.4375,1.0
InternVL3-8B,Vanilla,500,984.3449369026348,932.527142111212,1374.8582295607775,0.0,,,21.008895586004865,0.0,0.0,1.0
InternVL3-8B,Ranger-style,500,1001.8400196554139,948.9168946165591,1397.2066413378343,1.7773325281511099,1.7192640654026543,1.851218563652887,20.642018280636215,-1.746295058046965,0.0,1.0
InternVL3-8B,Dr.DNA-style,500,1035.5207461165264,981.1665930319577,1446.2514505023134,5.198971142669029,5.115088256252947,5.2805756321152435,19.970628379542763,-4.942036111378201,0.0,1.0
InternVL3-8B,Full SIEVE,500,1048.6640865206718,992.6627560053021,1460.3975986363366,6.534208406701958,6.465387893342648,6.601044075086697,19.720328240298084,-6.133436859789832,1.4375,1.0
LLaVA-1.5-7B,Vanilla,500,363.8404179867357,249.2925524711609,640.8371489029377,0.0,,,14.291980063054933,0.0,0.0,1.0
LLaVA-1.5-7B,Ranger-style,500,373.86266427114606,254.11045155487955,663.8021691702306,2.75457200161191,2.5991104604667385,2.9046606087028355,13.908850754427487,-2.680729380653435,0.0,1.0
LLaVA-1.5-7B,Dr.DNA-style,500,384.45474758185446,258.3812812808901,689.4842781126499,5.6657612997438545,5.448601577218877,5.871680246692775,13.525649072373245,-5.361965153188741,0.0,1.0
LLaVA-1.5-7B,Full SIEVE,500,389.2196381287649,263.1669589318335,698.4907440142706,6.975371313187773,6.719780513719535,7.226045324035909,13.360065861526987,-6.520539473301978,2.54296875,1.0
