model,mode_name,observations,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_overhead_percent,overhead_ci95_low_percent,overhead_ci95_high_percent,tokens_per_second,throughput_change_percent,extra_peak_allocated_mb,answer_match_rate
Qwen2.5-VL-7B,Vanilla,200,775.0233416818082,730.3346693515778,974.0828138077632,0.0,,,18.193000444867714,0.0,0.0,1.0
Qwen2.5-VL-7B,Ranger-style,200,789.7707141702995,750.185827491805,1004.8767240718004,1.9028294627216447,1.4974825682249122,2.3876788352198455,17.8532829174514,-1.8672979668515888,0.0,1.0
Qwen2.5-VL-7B,Dr.DNA-style,200,796.7792528844438,748.6858984921128,1007.7741092536598,2.8071298027521507,2.556224048476403,3.1311165662775777,17.69624390815421,-2.730481638907678,0.0,1.0
Qwen2.5-VL-7B,Full SIEVE,200,800.4565583541989,756.0992785729468,1014.0320115955546,3.2816065406753303,3.0907205835311564,3.473970168044956,17.61494718587939,-3.1773387833417766,1.4375,1.0
InternVL3-8B,Vanilla,200,995.2027544751763,955.2708545234054,1426.1565543711185,0.0,,,20.17679303006879,0.0,0.0,1.0
InternVL3-8B,Ranger-style,200,997.8445066814311,953.0837077181786,1428.1765484251082,0.2654486429398917,0.17426636530437967,0.3582605935933003,20.123375802088454,-0.2647458785979051,0.0,1.0
InternVL3-8B,Dr.DNA-style,200,1007.4744502664544,963.5561411269009,1444.1189941717312,1.2330849905805907,1.1363262337731328,1.330911961595163,19.931026533416595,-1.2180652112847579,0.0,1.0
InternVL3-8B,Full SIEVE,200,1009.0923962392844,971.2349120527506,1435.473016812466,1.3956594976902714,1.2924166659341392,1.504252865103054,19.89906977283224,-1.376448957089793,1.4375,1.0
LLaVA-1.5-7B,Vanilla,200,360.70060623576865,251.44624942913651,711.1848785309121,0.0,,,14.250045359336841,0.0,0.0,1.0
LLaVA-1.5-7B,Ranger-style,200,369.28783363197,253.73436138033867,711.5535132121295,2.380707780288116,2.108427388520402,2.666802387832547,13.91868220907189,-2.32534803861405,0.0,1.0
LLaVA-1.5-7B,Dr.DNA-style,200,372.4763444508426,257.6909076888114,721.1382578825578,3.2646848969743125,3.0307854011191164,3.515255491455413,13.799534055184408,-3.161472772837537,0.0,1.0
LLaVA-1.5-7B,Full SIEVE,200,378.7025203090161,262.69545988179743,728.9997605839744,4.990818912425299,4.648061344393192,5.347840835082371,13.572658549528082,-4.753576516617364,2.5791015625,1.0
