scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,non_significant_sdc,significant_global_share_pct,non_significant_global_share_pct,significant_rate_pct,non_significant_rate_pct,significant_capture_pct,non_significant_distribution_pct
all,all_jobs,all,all,0,"[0,1]",327141,72.7664004163914,941,326200,0.2093078604999811,72.55709255589143,0.2876435543083869,99.71235644569161,5.2295209514282535,75.58221709381509
all,all_jobs,all,all,1,"(1,1e6]",76593,17.036681146944794,586,76007,0.13034474628372894,16.906336400661065,0.7650829710286841,99.23491702897131,3.256641102589752,17.61121267519805
all,all_jobs,all,all,2,>1e6,40419,8.990451023962525,11188,29231,2.488561470004026,6.501889553958499,27.680051460946583,72.31994853905341,62.17628098254974,6.772972985497575
all,all_jobs,all,all,3,non_finite,5424,1.2064674127012724,5279,145,1.1742148730918174,0.03225253960945511,97.32669616519173,2.6733038348082596,29.337556963432256,0.03359724548928016
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,0,"[0,1]",104391,69.68272934202885,468,103923,0.31239778651482886,69.37033155551403,0.44831450987154065,99.55168549012846,9.450726978998384,71.74178672760033
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,1,"(1,1e6]",25093,16.749994993625215,135,24958,0.09011474611004679,16.65988024751517,0.5379986450404495,99.46200135495955,2.7261712439418417,17.229405551682003
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,2,>1e6,18282,12.203539173213892,2345,15937,1.5653265157634053,10.638212657450486,12.826824198665355,87.17317580133465,47.3546042003231,11.001884617243212
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,3,non_finite,2043,1.3637364911320415,2004,39,1.3377033422558058,0.02603314887623574,98.09104258443466,1.908957415565345,40.468497576736674,0.02692310347446102
model,InternVL3-8B,InternVL3-8B,all,0,"[0,1]",102286,68.28900283074293,359,101927,0.2396784703306094,68.04932436041233,0.35097667324951604,99.64902332675048,3.7853226486714466,72.64932287954383
model,InternVL3-8B,InternVL3-8B,all,1,"(1,1e6]",26939,17.985232067510548,130,26809,0.08679164663782514,17.898440420872724,0.48257173614462306,99.51742826385538,1.3707296499367356,19.10833927298646
model,InternVL3-8B,InternVL3-8B,all,2,>1e6,18587,12.409202585055814,7094,11493,4.736153394221011,7.673049190834802,38.16646042933233,61.83353957066767,74.79966258962463,8.191732002851033
model,InternVL3-8B,InternVL3-8B,all,3,non_finite,1972,1.3165625166907013,1901,71,1.2691609250654277,0.04740159162527373,96.39959432048681,3.6004056795131847,20.044285111767188,0.05060584461867427
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,0,"[0,1]",120464,80.31790057606145,114,120350,0.07600810753147003,80.24189246852998,0.09463408155133483,99.90536591844867,3.204047217537943,82.19168726865448
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,1,"(1,1e6]",24561,16.375746746319606,321,24240,0.21402282910177087,16.161723917217838,1.3069500427507024,98.6930499572493,9.021922428330523,16.554437053528744
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,2,>1e6,3550,2.366919138041391,1749,1801,1.1661243866012374,1.2007947514401536,49.267605633802816,50.732394366197184,49.156829679595276,1.2299728190348709
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,3,non_finite,1409,0.9394335395775549,1374,35,0.9160977170898229,0.023335822487732024,97.51596877217885,2.48403122782115,38.61720067453626,0.023902858781910317
dataset,EarthVQA,all,EarthVQA,0,"[0,1]",108848,72.67919740927454,233,108615,0.15557707074416585,72.52362033853036,0.2140599735410848,99.78594002645892,3.9659574468085106,75.48474529154215
dataset,EarthVQA,all,EarthVQA,1,"(1,1e6]",25676,17.14419256835709,176,25500,0.1175174439955931,17.0266751243615,0.6854650257049385,99.31453497429506,2.9957446808510637,17.72187087358399
dataset,EarthVQA,all,EarthVQA,2,>1e6,13421,8.961372817413949,3697,9724,2.46853403665743,6.492838780756519,27.54638253483347,72.45361746516653,62.92765957446809,6.757940093126694
dataset,EarthVQA,all,EarthVQA,3,non_finite,1820,1.2152372049544287,1769,51,1.1811838547057056,0.034053350248723,97.1978021978022,2.802197802197802,30.11063829787234,0.035443741747167974
dataset,LingoQA,all,LingoQA,0,"[0,1]",108985,72.70271171742104,310,108675,0.20679763850438612,72.49591407891664,0.2844428132311786,99.71555718676882,5.131600728356233,75.5400934215648
dataset,LingoQA,all,LingoQA,1,"(1,1e6]",25593,17.072812781428237,226,25367,0.15076214936126214,16.922050632066977,0.8830539600672058,99.1169460399328,3.74110246647906,17.632625257187343
dataset,LingoQA,all,LingoQA,2,>1e6,13510,9.01237450385244,3733,9777,2.4902438210866884,6.522130682765751,27.63138415988157,72.36861584011844,61.79440489985102,6.796001779458377
dataset,LingoQA,all,LingoQA,3,non_finite,1817,1.212100997298289,1772,45,1.1820819852573297,0.030019012040959275,97.52339020363236,2.476609796367639,29.33289190531369,0.03127954178946783
dataset,VQAv2,all,VQAv2,0,"[0,1]",109308,72.91720866937501,398,108910,0.26549794205740895,72.6517107273176,0.3641087569070882,99.63589124309291,6.54820664692333,75.72186415813222
dataset,VQAv2,all,VQAv2,1,"(1,1e6]",25324,16.893140413723174,184,25140,0.1227427671823197,16.770397646540854,0.7265834781235192,99.27341652187648,3.027311615663047,17.479089752414325
dataset,VQAv2,all,VQAv2,2,>1e6,13488,8.997578498669174,3758,9730,2.506887603647595,6.49069089502158,27.861803084223013,72.13819691577699,61.829549193813754,6.764977855648026
dataset,VQAv2,all,VQAv2,3,non_finite,1787,1.1920724182326377,1738,49,1.1593854856677808,0.03268693256485688,97.25797425853385,2.7420257414661444,28.594932543599867,0.03406823380542172
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,"[0,1]",34687,69.51720544321302,147,34540,0.2946068901937992,69.22259855301922,0.42378989246691845,99.57621010753309,8.860759493670885,71.60330030266594
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,"(1,1e6]",8442,16.9188528368439,36,8406,0.07214862616991001,16.846704210673987,0.42643923240938164,99.57356076759062,2.1699819168173597,17.4260956092707
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,>1e6,6080,12.185101308695913,799,5281,1.6012986752710583,10.583802633424856,13.141447368421053,86.85855263157895,48.16154309825196,10.947800489240848
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,3,non_finite,688,1.3788404112471693,677,11,1.3567949976952522,0.02204541355191695,98.40116279069767,1.5988372093023255,40.80771549125979,0.02280359882250508
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,"[0,1]",34749,69.55085865257595,116,34633,0.2321764541051199,69.31868219847084,0.3338225560447783,99.66617744395522,7.254534083802376,71.61052870996423
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,"(1,1e6]",8417,16.846803570713742,45,8372,0.09006845202353789,16.756735118690205,0.5346322917904242,99.46536770820957,2.8142589118198873,17.31075408886959
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,>1e6,6117,12.243304911732917,772,5345,1.5451743324926945,10.698130579240223,12.62056563675004,87.37943436324996,48.280175109443405,11.051837148233153
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,3,non_finite,679,1.3590328649773828,666,13,1.3330130899483608,0.026019775029022058,98.08541973490428,1.914580265095729,41.651031894934334,0.026880052933027313
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,0,"[0,1]",34955,69.97997997997997,205,34750,0.41041041041041043,69.56956956956957,0.5864683164068087,99.41353168359319,12.101534828807557,72.01177055702918
