scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,non_significant_sdc,significant_global_share_pct,non_significant_global_share_pct,significant_rate_pct,non_significant_rate_pct,significant_capture_pct,non_significant_distribution_pct
all,all_jobs,all,all,0,"[0,1]",327141,73.65502428217303,941,326200,0.21186392977194796,73.4431603524011,0.2876435543083869,99.71235644569161,7.400707825403067,75.60761917123665
all,all_jobs,all,all,1,"(1,1e6]",76593,17.244733233818078,586,76007,0.13193651737126622,17.11279671644681,0.7650829710286841,99.23491702897131,4.6087298466378295,17.617131546131773
all,all_jobs,all,all,2,>1e6,40419,9.10024248400889,11188,29231,2.518951802644584,6.581290681364305,27.680051460946583,72.31994853905341,87.9905623279591,6.775249282631572
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,0,"[0,1]",104391,70.64615676136594,468,103923,0.316716971427798,70.32943978993815,0.44831450987154065,99.55168549012846,15.87516960651289,71.76110704470439
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,1,"(1,1e6]",25093,16.981578982986616,135,24958,0.09136066483494173,16.89021831815167,0.5379986450404495,99.46200135495955,4.579375848032565,17.23404549158254
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,2,>1e6,18282,12.372264255647442,2345,15937,1.5869685854662101,10.785295670181233,12.826824198665355,87.17317580133465,79.54545454545455,11.004847463713075
model,InternVL3-8B,InternVL3-8B,all,0,"[0,1]",102286,69.20006494736558,359,101927,0.24287608583876816,68.9571888615268,0.35097667324951604,99.64902332675048,4.734274034023474,72.68610629755614
model,InternVL3-8B,InternVL3-8B,all,1,"(1,1e6]",26939,18.225177928720267,130,26809,0.08794955754607203,18.137228371174196,0.48257173614462306,99.51742826385538,1.7143610708162995,19.11801410549886
model,InternVL3-8B,InternVL3-8B,all,2,>1e6,18587,12.57475712391416,7094,11493,4.799339701783347,7.775417422130815,38.16646042933233,61.83353957066767,93.55136489516023,8.195879596944996
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,0,"[0,1]",120464,81.07958943294632,114,120350,0.0767289247854619,81.00286050816086,0.09463408155133483,99.90536591844867,5.21978021978022,82.2113381287101
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,1,"(1,1e6]",24561,16.531044926804643,321,24240,0.2160524987380111,16.314992428066635,1.3069500427507024,98.6930499572493,14.697802197802197,16.558394983298154
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,2,>1e6,3550,2.3893656402490326,1749,1801,1.1771832407874812,1.2121823994615515,49.267605633802816,50.732394366197184,80.08241758241758,1.2302668879917482
dataset,EarthVQA,all,EarthVQA,0,"[0,1]",108848,73.57328737030653,233,108615,0.15749095947818445,73.41579641082835,0.2140599735410848,99.78594002645892,5.6746225036531905,75.51150939592183
dataset,EarthVQA,all,EarthVQA,1,"(1,1e6]",25676,17.355098178377098,176,25500,0.1189631281895299,17.23613505018757,0.6854650257049385,99.31453497429506,4.286410131514856,17.728154394844235
dataset,EarthVQA,all,EarthVQA,2,>1e6,13421,9.071614451316368,3697,9724,2.498901618844841,6.5727128324715265,27.54638253483347,72.45361746516653,90.03896736483195,6.760336209233935
dataset,LingoQA,all,LingoQA,0,"[0,1]",108985,73.59475447031495,310,108675,0.2093349900059424,73.38541948030901,0.2844428132311786,99.71555718676882,7.261653783087374,75.56372940988325
dataset,LingoQA,all,LingoQA,1,"(1,1e6]",25593,17.28229161039382,226,25367,0.1526119604559451,17.129679649937874,0.8830539600672058,99.1169460399328,5.293979854766924,17.638142387306267
dataset,LingoQA,all,LingoQA,2,>1e6,13510,9.122953919291232,3733,9777,2.5207984441683324,6.6021554751229,27.63138415988157,72.36861584011844,87.4443663621457,6.798128202810477
dataset,VQAv2,all,VQAv2,0,"[0,1]",109308,73.79692141506887,398,108910,0.268701053200108,73.52822036186876,0.3641087569070882,99.63589124309291,9.170506912442397,75.74767005146752
dataset,VQAv2,all,VQAv2,1,"(1,1e6]",25324,17.096948420199837,184,25140,0.12422360248447205,16.972724817715367,0.7265834781235192,99.27341652187648,4.23963133640553,17.485046598970648
dataset,VQAv2,all,VQAv2,2,>1e6,13488,9.106130164731299,3758,9730,2.537132055090467,6.568998109640832,27.861803084223013,72.13819691577699,86.58986175115207,6.767283349561831
