scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,significant_global_share_pct,non_significant_sdc,non_significant_global_share_pct
all,all_jobs,all,all,0,"[0,1]",327141,73.65502428217303,941,0.21186392977194796,326200,73.4431603524011
all,all_jobs,all,all,1,"(1,1e6]",76593,17.244733233818078,586,0.13193651737126622,76007,17.11279671644681
all,all_jobs,all,all,2,>1e6,40419,9.10024248400889,11188,2.518951802644584,29231,6.581290681364305
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,0,"[0,1]",104391,70.64615676136594,468,0.316716971427798,103923,70.32943978993815
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,1,"(1,1e6]",25093,16.981578982986616,135,0.09136066483494173,24958,16.89021831815167
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,2,>1e6,18282,12.372264255647442,2345,1.5869685854662101,15937,10.785295670181233
model,InternVL3-8B,InternVL3-8B,all,0,"[0,1]",102286,69.20006494736558,359,0.24287608583876816,101927,68.9571888615268
model,InternVL3-8B,InternVL3-8B,all,1,"(1,1e6]",26939,18.225177928720267,130,0.08794955754607203,26809,18.137228371174196
model,InternVL3-8B,InternVL3-8B,all,2,>1e6,18587,12.57475712391416,7094,4.799339701783347,11493,7.775417422130815
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,0,"[0,1]",120464,81.07958943294632,114,0.0767289247854619,120350,81.00286050816086
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,1,"(1,1e6]",24561,16.531044926804643,321,0.2160524987380111,24240,16.314992428066635
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,2,>1e6,3550,2.3893656402490326,1749,1.1771832407874812,1801,1.2121823994615515
dataset,EarthVQA,all,EarthVQA,0,"[0,1]",108848,73.57328737030653,233,0.15749095947818445,108615,73.41579641082835
dataset,EarthVQA,all,EarthVQA,1,"(1,1e6]",25676,17.355098178377098,176,0.1189631281895299,25500,17.23613505018757
dataset,EarthVQA,all,EarthVQA,2,>1e6,13421,9.071614451316368,3697,2.498901618844841,9724,6.5727128324715265
dataset,LingoQA,all,LingoQA,0,"[0,1]",108985,73.59475447031495,310,0.2093349900059424,108675,73.38541948030901
dataset,LingoQA,all,LingoQA,1,"(1,1e6]",25593,17.28229161039382,226,0.1526119604559451,25367,17.129679649937874
dataset,LingoQA,all,LingoQA,2,>1e6,13510,9.122953919291232,3733,2.5207984441683324,9777,6.6021554751229
dataset,VQAv2,all,VQAv2,0,"[0,1]",109308,73.79692141506887,398,0.268701053200108,108910,73.52822036186876
dataset,VQAv2,all,VQAv2,1,"(1,1e6]",25324,17.096948420199837,184,0.12422360248447205,25140,16.972724817715367
dataset,VQAv2,all,VQAv2,2,>1e6,13488,9.106130164731299,3758,2.537132055090467,9730,6.568998109640832
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,"[0,1]",34687,70.48913816578268,147,0.298725842833628,34540,70.19041232294906
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,"(1,1e6]",8442,17.15539840273121,36,0.07315734926537829,8406,17.08224105346583
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,>1e6,6080,12.355463431486111,799,1.6236867239732569,5281,10.731776707512854
