scope_type,scope,model,dataset,bucket_order,deviation_bucket,samples,sample_share_pct,significant_sdc,significant_global_share_pct,non_significant_sdc,non_significant_global_share_pct
all,all_jobs,all,all,0,"[0,1]",40189,58.697493719693874,941,1.3743646667056142,39248,57.32312905298826
all,all_jobs,all,all,1,"(1,1e6]",10851,15.848279488228078,586,0.8558742770345271,10265,14.99240521119355
all,all_jobs,all,all,2,>1e6,17428,25.45422679207805,11188,16.34048022433838,6240,9.113746567739675
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,0,"[0,1]",18889,64.19371282922685,468,1.5904842820730671,18421,62.60322854715378
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,1,"(1,1e6]",4511,15.330501274426508,135,0.45879354290569246,4376,14.871707731520816
model,Qwen2.5-VL-7B,Qwen2.5-VL-7B,all,2,>1e6,6025,20.475785896346643,2345,7.969413763806287,3680,12.506372132540356
model,InternVL3-8B,InternVL3-8B,all,0,"[0,1]",20708,58.15873729146773,359,1.008257035331124,20349,57.1504802561366
model,InternVL3-8B,InternVL3-8B,all,1,"(1,1e6]",5288,14.851429534348144,130,0.36510700443745436,5158,14.486322529910689
model,InternVL3-8B,InternVL3-8B,all,2,>1e6,9610,26.989833174184128,7094,19.92360838061001,2516,7.066224793574117
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,0,"[0,1]",592,17.22432353796916,114,3.3168460867035203,478,13.907477451265638
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,1,"(1,1e6]",1052,30.60808844922898,321,9.339540296770439,731,21.26854815245854
model,LLaVA-1.5-7B,LLaVA-1.5-7B,all,2,>1e6,1793,52.167588012801865,1749,50.88740180389875,44,1.280186208903113
dataset,EarthVQA,all,EarthVQA,0,"[0,1]",16220,60.52690499290992,233,0.8694678707366221,15987,59.6574371221733
dataset,EarthVQA,all,EarthVQA,1,"(1,1e6]",4380,16.344503321143367,176,0.6567654302559892,4204,15.68773789088738
dataset,EarthVQA,all,EarthVQA,2,>1e6,6198,23.128591685946713,3697,13.795805657138592,2501,9.33278602880812
dataset,LingoQA,all,LingoQA,0,"[0,1]",12634,57.45077531717521,310,1.4096675912873449,12324,56.04110772588786
dataset,LingoQA,all,LingoQA,1,"(1,1e6]",3656,16.62498294756946,226,1.0276931471965804,3430,15.597289800372879
dataset,LingoQA,all,LingoQA,2,>1e6,5701,25.924241735255332,3733,16.975126187985996,1968,8.949115547269338
dataset,VQAv2,all,VQAv2,0,"[0,1]",11335,57.59947151786168,398,2.0224604908786015,10937,55.57701102698308
dataset,VQAv2,all,VQAv2,1,"(1,1e6]",2815,14.304588647797145,184,0.9350068601046801,2631,13.369581787692464
dataset,VQAv2,all,VQAv2,2,>1e6,5529,28.095939834341177,3758,19.09649880583363,1771,8.999441028507546
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,"[0,1]",7882,64.9633231682189,147,1.2115717464765516,7735,63.751751421742355
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,"(1,1e6]",1942,16.005934228962335,36,0.2967114481167065,1906,15.709222780845627
job,qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,>1e6,2309,19.03074260281876,799,6.585345751256902,1510,12.445396851561856
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,0,"[0,1]",5988,63.78355347251811,116,1.2356199403493822,5872,62.54793353216873
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,1,"(1,1e6]",1444,15.38133787814231,45,0.47933532168726034,1399,14.902002556455049
job,qwen25_vl_lingoqa,Qwen2.5-VL-7B,LingoQA,2,>1e6,1956,20.83510864933958,772,8.223263740945889,1184,12.611844908393694
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,0,"[0,1]",5019,63.499493927125506,205,2.5936234817813766,4814,60.90587044534413
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,1,"(1,1e6]",1125,14.2332995951417,54,0.6831983805668016,1071,13.550101214574898
job,qwen25_vl_vqav2,Qwen2.5-VL-7B,VQAv2,2,>1e6,1760,22.267206477732792,774,9.79251012145749,986,12.474696356275304
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,0,"[0,1]",8124,60.35661218424963,63,0.46805349182763745,8061,59.88855869242199
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,1,"(1,1e6]",2045,15.193164933135215,29,0.21545319465081725,2016,14.977711738484398
job,internvl3_earthvqa,InternVL3-8B,EarthVQA,2,>1e6,3291,24.450222882615154,2321,17.24368499257058,970,7.206537890044577
job,internvl3_lingoqa,InternVL3-8B,LingoQA,0,"[0,1]",6340,56.90181295997128,150,1.3462574044157243,6190,55.55555555555556
job,internvl3_lingoqa,InternVL3-8B,LingoQA,1,"(1,1e6]",1667,14.961407287740082,51,0.45772751750134627,1616,14.503679770238737
job,internvl3_lingoqa,InternVL3-8B,LingoQA,2,>1e6,3135,28.13677975228864,2372,21.288817088493985,763,6.847962663794651
job,internvl3_vqav2,InternVL3-8B,VQAv2,0,"[0,1]",6244,56.74300254452926,146,1.326790258087968,6098,55.416212286441294
job,internvl3_vqav2,InternVL3-8B,VQAv2,1,"(1,1e6]",1576,14.322064703744093,50,0.45438022537259176,1526,13.867684478371501
job,internvl3_vqav2,InternVL3-8B,VQAv2,2,>1e6,3184,28.934932751726645,2401,21.81933842239186,783,7.115594329334788
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,0,"[0,1]",214,17.759336099585063,23,1.9087136929460582,191,15.850622406639005
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,1,"(1,1e6]",393,32.614107883817425,111,9.21161825726141,282,23.402489626556015
job,llava15_earthvqa,LLaVA-1.5-7B,EarthVQA,2,>1e6,598,49.62655601659751,577,47.88381742738589,21,1.7427385892116183
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,0,"[0,1]",306,20.944558521560573,44,3.0116358658453115,262,17.932922655715263
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,1,"(1,1e6]",545,37.30321697467488,130,8.898015058179329,415,28.40520191649555
job,llava15_lingoqa,LLaVA-1.5-7B,LingoQA,2,>1e6,610,41.752224503764545,589,40.31485284052019,21,1.4373716632443532
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,0,"[0,1]",72,9.33852140077821,47,6.09597924773022,25,3.2425421530479897
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,1,"(1,1e6]",114,14.785992217898833,80,10.376134889753567,34,4.409857328145266
job,llava15_vqav2,LLaVA-1.5-7B,VQAv2,2,>1e6,585,75.87548638132296,583,75.61608300907912,2,0.2594033722438392
