job,model,dataset,metric,src_layer,tgt_layer,sdc_group,rows,finite_rows,non_finite_rows,non_finite_rate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,0,1,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,0,1,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,0,1,significant_sdc,224,184,40,0.1785714285714286
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,1,2,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,1,2,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,1,2,significant_sdc,224,181,43,0.1919642857142857
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,2,3,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,2,3,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,2,3,significant_sdc,224,183,41,0.1830357142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,3,4,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,3,4,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,3,4,significant_sdc,224,179,45,0.2008928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,4,5,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,4,5,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,4,5,significant_sdc,224,175,49,0.21875
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,5,6,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,5,6,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,5,6,significant_sdc,224,179,45,0.2008928571428571
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,6,7,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,6,7,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,6,7,significant_sdc,224,178,46,0.2053571428571429
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,7,8,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,7,8,non_significant_sdc,1723,1723,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,7,8,significant_sdc,224,176,48,0.2142857142857143
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,8,9,non_sdc,5540,5540,0,0.0
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,cos_sim,8,9,non_significant_sdc,1723,1723,0,0.0
