job,model,dataset,src_layer,tgt_layer,sdc_group,rows,semantic_groups,finite_rows,non_finite_rows,non_finite_rate,mean_cos_sim,median_cos_sim,std_cos_sim,q25_cos_sim,q75_cos_sim,mean_ci95_low,mean_ci95_high,evidence
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,1,non_sdc,5540,375,5540,0,0.0,0.9025585314063926,0.9236313253641129,0.06262357448951647,0.8845792971551418,0.9403252564370632,0.897952568168559,0.9069740424403823,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,1,non_significant_sdc,1723,315,1723,0,0.0,0.9060778077810708,0.927176296710968,0.06124100529080805,0.8853415697813034,0.940667413175106,0.9004909999348157,0.911395329005657,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,0,1,significant_sdc,224,122,184,40,0.1785714285714286,0.4950726930831518,0.38845433481037617,0.2387762722479544,0.3735457696020603,0.46418522112071514,0.43660020566276886,0.5512311531229783,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,2,non_sdc,5540,375,5540,0,0.0,0.9116490562698578,0.9272342026233673,0.03983036389113368,0.8923465944826603,0.9370643794536591,0.908592808335021,0.9146956379523995,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,2,non_significant_sdc,1723,315,1723,0,0.0,0.9107339691967464,0.9248538762331009,0.046852926202654015,0.8917699456214905,0.9385538250207901,0.9066391643012588,0.9147029983541054,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,1,2,significant_sdc,224,121,181,43,0.1919642857142857,0.37797909889637765,0.22209097258746624,0.2949730558912417,0.19793605990707874,0.4372027516365051,0.3054083992759302,0.4469571133956301,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,3,non_sdc,5540,375,5540,0,0.0,0.885800278488049,0.9034286886453629,0.055646980564028635,0.8610633015632629,0.9224303811788559,0.8819092261790862,0.8896509028679783,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,3,non_significant_sdc,1723,315,1723,0,0.0,0.8874758643920312,0.9035429507493973,0.059881135853576,0.8660544380545616,0.9241198152303696,0.8821798000814719,0.8924626957731907,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,2,3,significant_sdc,224,121,183,41,0.1830357142857143,0.4657494129277155,0.3656023181974888,0.24320911263587858,0.3384066130965948,0.44829828292131424,0.4074423993065548,0.5215734213012713,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,3,4,non_sdc,5540,375,5540,0,0.0,0.8998688613236058,0.9115767478942871,0.03488287746280923,0.8874340392649174,0.9223786480724812,0.8972833421772296,0.9023607414859568,adequate
qwen25_vl_earthvqa,Qwen2.5-VL-7B,EarthVQA,3,4,non_significant_sdc,1723,315,1723,0,0.0,0.9009820732157796,0.9111682027578354,0.037637188579043045,0.8896648362278938,0.9228337109088898,0.897671608857262,0.9040871060931677,adequate
