src_layer,tgt_layer,sdc_group,task_count,macro_mean_cos_sim,task_std_cos_sim
0,1,non_sdc,9,0.8836969999240907,0.044155757116216554
0,1,non_significant_sdc,9,0.8814831799790882,0.049297889447087705
0,1,significant_sdc,9,0.4492255552985767,0.11368200605120549
1,2,non_sdc,9,0.8721594897984568,0.04578109112945141
1,2,non_significant_sdc,9,0.8664745028198324,0.04817737304463053
1,2,significant_sdc,9,0.4129474907926659,0.054377183160262466
2,3,non_sdc,9,0.8607733215772426,0.06710968766931079
2,3,non_significant_sdc,9,0.8488704506813816,0.06290975844517492
2,3,significant_sdc,9,0.4777655690167843,0.10316949306572887
3,4,non_sdc,9,0.8766861032573564,0.06179622563794644
3,4,non_significant_sdc,9,0.8692040792343759,0.05692601602321147
3,4,significant_sdc,9,0.5833873510376173,0.05212626422957254
4,5,non_sdc,9,0.8479224267608235,0.06709049459279133
4,5,non_significant_sdc,9,0.8385576675982243,0.06100692300644258
4,5,significant_sdc,9,0.4868643754667382,0.06459453425830211
5,6,non_sdc,9,0.8694598045917382,0.05313358648574606
5,6,non_significant_sdc,9,0.870700607897912,0.046079181995223366
5,6,significant_sdc,9,0.5456200810322376,0.05887553757196292
6,7,non_sdc,9,0.792817235252846,0.10484212580165576
6,7,non_significant_sdc,9,0.7796485749672011,0.09665553950313678
6,7,significant_sdc,9,0.4304587509601614,0.11521082598675338
7,8,non_sdc,9,0.7842030364691934,0.1098976248080513
7,8,non_significant_sdc,9,0.7739496245747162,0.10704200586562293
7,8,significant_sdc,9,0.41536880639365154,0.12608447745663612
8,9,non_sdc,9,0.8149466377112559,0.08694412322606171
8,9,non_significant_sdc,9,0.8141996603741984,0.07377323435257727
8,9,significant_sdc,9,0.49816298969276684,0.0763268083113381
9,10,non_sdc,9,0.8306587341998116,0.08153957640088687
9,10,non_significant_sdc,9,0.8290873263201162,0.08051924676778353
9,10,significant_sdc,9,0.5213704650139963,0.08062626456691185
10,11,non_sdc,9,0.7758713260571749,0.09862057650680119
10,11,non_significant_sdc,9,0.779675613890086,0.09194735604574601
10,11,significant_sdc,9,0.29171036797706384,0.16479548274994138
11,12,non_sdc,9,0.7943880104690282,0.0923335333094045
11,12,non_significant_sdc,9,0.7976065075497822,0.08232183367855248
11,12,significant_sdc,9,0.4245490906472676,0.09263919385099914
12,13,non_sdc,9,0.8012705621343186,0.09397061291399608
12,13,non_significant_sdc,9,0.7982440429834868,0.08280593921304746
12,13,significant_sdc,9,0.4373254626326212,0.06678251372331395
13,14,non_sdc,9,0.7966209801312227,0.09040271118684048
13,14,non_significant_sdc,9,0.7867492809699881,0.08256898406796453
13,14,significant_sdc,9,0.37604800476177375,0.07176481109204355
14,15,non_sdc,9,0.8266359457561329,0.07729488308173821
14,15,non_significant_sdc,9,0.8127129735614104,0.07066492289264961
14,15,significant_sdc,9,0.4642313198181039,0.0664628537924582
15,16,non_sdc,9,0.7774757218578223,0.10742770768056298
15,16,non_significant_sdc,9,0.7690745942982337,0.10205219798947311
15,16,significant_sdc,9,0.3425296543064929,0.12528639256351898
16,17,non_sdc,9,0.764210138249551,0.09828568791777216
16,17,non_significant_sdc,9,0.764085187323698,0.08585600372284867
16,17,significant_sdc,9,0.26493181110481107,0.11154272073849546
17,18,non_sdc,9,0.7852784625003931,0.10160736372204472
17,18,non_significant_sdc,9,0.7728132140245259,0.09241631117939994
17,18,significant_sdc,9,0.4495389014270043,0.0953108819470141
18,19,non_sdc,9,0.8029830305045196,0.09304661027688799
18,19,non_significant_sdc,9,0.8034843451247311,0.06839335364082826
18,19,significant_sdc,9,0.4562737229746115,0.14097194986437409
19,20,non_sdc,9,0.7532321708429922,0.12203865221891183
19,20,non_significant_sdc,9,0.7566164265733261,0.10906943334673376
19,20,significant_sdc,9,0.368190205438231,0.16865430442820498
20,21,non_sdc,9,0.766332503615056,0.12042103897997937
20,21,non_significant_sdc,9,0.7545238647107901,0.10649271762336708
20,21,significant_sdc,9,0.48622923871480417,0.13558605146518568
21,22,non_sdc,9,0.7527814932071025,0.15131401431120728
21,22,non_significant_sdc,9,0.7492320963963364,0.14530304186174559
21,22,significant_sdc,9,0.3492866657207226,0.14792818480327924
22,23,non_sdc,9,0.7977000482910609,0.10202258190302783
22,23,non_significant_sdc,9,0.7888312214581602,0.09507332121421788
22,23,significant_sdc,9,0.5273213794113908,0.11986749210186322
23,24,non_sdc,9,0.7896007441603635,0.11140264794363769
23,24,non_significant_sdc,9,0.7825210929028573,0.10352494287176185
23,24,significant_sdc,9,0.5771566207786556,0.07748181351969458
24,25,non_sdc,9,0.7889280400028659,0.10418627610686257
24,25,non_significant_sdc,9,0.7788007352291432,0.09801993333268808
24,25,significant_sdc,9,0.5557373263348749,0.14534954479838705
25,26,non_sdc,9,0.8597894521166439,0.07231933510706152
25,26,non_significant_sdc,9,0.8553439621499308,0.06756422126845928
25,26,significant_sdc,9,0.5623879292343843,0.133475959028496
26,27,non_sdc,9,0.9420230902928759,0.059835445198436095
26,27,non_significant_sdc,9,0.9185832082084882,0.0934815828261113
26,27,significant_sdc,9,0.6086034224001763,0.11603033053411249
27,28,non_sdc,3,0.8480490009272975,0.07549297923016664
27,28,non_significant_sdc,3,0.7993487702557829,0.03856740911611021
27,28,significant_sdc,3,0.5163774607360899,0.05829700840635211
28,29,non_sdc,3,0.8292947608440354,0.08968874860348659
28,29,non_significant_sdc,3,0.8107551145571676,0.026921692274319363
28,29,significant_sdc,3,0.5691252094660705,0.05458715096728235
29,30,non_sdc,3,0.8742225685471928,0.05630307868903786
29,30,non_significant_sdc,3,0.8265317014282019,0.06934622447304879
29,30,significant_sdc,3,0.5475611825682623,0.041127363348936526
30,31,non_sdc,3,0.9079873462963892,0.03829441049486556
30,31,non_significant_sdc,3,0.875960697938158,0.051370679807515515
30,31,significant_sdc,3,0.6953187577732693,0.0830387644640703
