rank,profile,k,feature_count,full_f1,full_recall,full_fpr,canonical_finite_f1,canonical_finite_recall,canonical_finite_fpr
1,36D,28,36,0.9342205336320796,0.8865965585887147,0.00027705191016347774,0.8738768701426617,0.7964850239868523,0.00027705191016347774
2,72D,12,72,0.9321785919439015,0.8844987763273393,0.0004108139183084333,0.868831174879163,0.7914104523335792,0.0004108139183084333
3,72D,16,72,0.9320962070960425,0.8858781595112344,0.0004699082353951556,0.8691227624299303,0.7940529766249214,0.0004699082353951556
4,36D,12,36,0.9296783741456763,0.8844501683640138,0.0006272535205836445,0.8677056093770638,0.7913235715486392,0.0006272535205836445
5,36D,32,36,0.9271348997952334,0.887554623394656,0.0009419336002049557,0.8662693313512487,0.7976896875091827,0.0009419336002049557
6,60D,12,60,0.9259123868379375,0.8802367534849508,0.0008736996650798556,0.8611779601630358,0.7852181573098609,0.0008736996650798556
7,48D,12,48,0.9244023391487721,0.8855562527629269,0.0009006484852196446,0.853082384921099,0.7926958014450153,0.0009006484852196446
8,36D,20,36,0.9234320380580024,0.8876374552415638,0.0010619715496381667,0.8600629329575686,0.7994630366460841,0.0010619715496381667
9,48D,16,48,0.9231114221604108,0.8882575349950506,0.0009165886855980999,0.8477796445181194,0.799140209273506,0.0009165886855980999
10,72D,24,72,0.9228390336593777,0.8845347945016835,0.0007234085322937667,0.8469804937947628,0.7921411882977709,0.0007234085322937667
11,60D,4,60,0.919722886446993,0.8813189349563337,0.0013633978485998667,0.8534098171328185,0.788260299411897,0.0013633978485998667
12,72D,2,72,0.9169554645190426,0.881761728415055,0.0012198658747139333,0.8466745944601715,0.7874282159922773,0.0012198658747139333
13,60D,16,60,0.9164478655875834,0.8820158073310146,0.0013237826320912334,0.8410343191059301,0.7893566259138556,0.0013237826320912334
14,48D,4,48,0.9159658058067967,0.8854119793362475,0.0019324213071420333,0.845483284552716,0.791915837687956,0.0019324213071420333
15,60D,8,60,0.9157235985141676,0.8831117147578195,0.0020814479069942446,0.8493578730903495,0.7907562955708056,0.0020814479069942446
16,36D,4,36,0.9156896206187262,0.881987354820041,0.001993114124548722,0.8475749604366748,0.7863783109438638,0.001993114124548722
17,72D,28,72,0.9152052348734246,0.8868256605064174,0.0013719878956480556,0.837425051225162,0.7941877893624084,0.0013719878956480556
18,72D,8,72,0.9151737583806852,0.8883030737084732,0.0016443341056224887,0.8418846693779886,0.7997438548230291,0.0016443341056224887
19,36D,8,36,0.9150887028137529,0.8838911288807451,0.0016206867449183445,0.8381970990634093,0.7886455839356359,0.0016206867449183445
20,72D,1,72,0.9146339361612933,0.8816129802540094,0.0017116378350123,0.8452129045514805,0.7841837305196163,0.0017116378350123
21,36D,24,36,0.913925680076471,0.8867731988787815,0.0015448004806840555,0.8389414849835641,0.7983486997635716,0.0015448004806840555
22,36D,1,36,0.9138686583180424,0.881737225067432,0.001491485909971989,0.8377726092792274,0.7853282081362821,0.001491485909971989
23,72D,20,72,0.9138054054265565,0.8863778463714524,0.001403331799232689,0.8296769039756007,0.794669358401897,0.001403331799232689
24,48D,2,48,0.9125984193026704,0.8802293450430756,0.0016254052128086222,0.8434624428677442,0.7839140056930511,0.0016254052128086222
25,36D,2,36,0.9114744396029769,0.8808542501546287,0.0015458754622198001,0.8328754670514205,0.7867663761577148,0.0015458754622198001
26,48D,28,48,0.9099666749426191,0.8898851081953004,0.0019161992945354667,0.8310628174677045,0.8023025182740308,0.0019161992945354667
27,72D,32,72,0.9095488636905191,0.8866738380412053,0.0016963213194302557,0.8284165297974257,0.7949347711842347,0.0016963213194302557
28,60D,24,60,0.9081661436480418,0.8854441704327829,0.0021244744723309555,0.8301070157672014,0.7947676039036461,0.0021244744723309555
29,48D,1,48,0.9078420420824401,0.8808544423234816,0.0020225914665631334,0.8279650841140328,0.7831830929008377,0.0020225914665631334
30,72D,4,72,0.9075276296582049,0.8873959126282831,0.0023195671370368444,0.8266563087571471,0.7958330398807703,0.0023195671370368444
31,48D,24,48,0.905642357135695,0.8871041906225979,0.001737680666004311,0.8104807401917048,0.7988172234879092,0.001737680666004311
32,48D,8,48,0.9054236270873542,0.8884368644587478,0.002445735336322778,0.8271965847831966,0.7990399305606929,0.002445735336322778
33,48D,20,48,0.9054143193510631,0.887703320869848,0.002012967001686889,0.8194770108530158,0.7996374194977444,0.002012967001686889
34,36D,16,36,0.9041010092699486,0.8871864254988018,0.0022630466159915667,0.8263663939860553,0.7973017741418097,0.0022630466159915667
35,60D,32,60,0.9025162830598696,0.884721109556184,0.0024120186737057996,0.8179555488301622,0.794337466662872,0.0024120186737057996
36,60D,2,60,0.901405873198908,0.8762841927733338,0.0023529966230703223,0.8223887771918311,0.7775674344888379,0.0023529966230703223
37,48D,32,48,0.9008957212276572,0.8887963218889873,0.002328145191115011,0.8125071103647886,0.8012850142494536,0.002328145191115011
38,60D,1,60,0.9001436573742012,0.8685516606907496,0.0023549412859155444,0.8288499870833184,0.7707782408141522,0.0023549412859155444
39,60D,28,60,0.8993393645298203,0.8821893999799595,0.002703420603639789,0.8112180545183949,0.7896602127754481,0.002703420603639789
40,60D,20,60,0.8967182842752758,0.8824589943141918,0.0026211472672412334,0.8082224493960867,0.7908465806201845,0.0026211472672412334
