job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_earthvqa,internvl3,earthvqa,36D,1,36,canonical_finite,0.7774131298065186,0.99375,0.9464285714285714,0.9695121951219512,0.0003684598378776,407,22824,4039,5764,5715,253,241,237,4,16,5458,0.983402489626556,0.9367588932806324,0.0007323324789454,0.9595141700404858
internvl3_earthvqa,internvl3,earthvqa,36D,1,36,full,0.7774131298065186,0.99375,0.9464285714285714,0.9695121951219512,0.0003684598378776,407,22824,4039,5764,5773,311,299,295,4,16,5458,0.9866220735785952,0.9485530546623794,0.0007323324789454,0.9672131147540984
internvl3_lingoqa,internvl3,lingoqa,36D,1,36,canonical_finite,0.498148113489151,0.9969418960244648,0.8670212765957447,0.9274537695590328,0.0001834525775087,3,22757,4069,5827,5776,273,272,267,5,6,5498,0.9816176470588236,0.978021978021978,0.0009085953116481,0.979816513761468
internvl3_lingoqa,internvl3,lingoqa,36D,1,36,full,0.498148113489151,0.9969418960244648,0.8670212765957447,0.9274537695590328,0.0001834525775087,3,22757,4069,5827,5827,324,323,318,5,6,5498,0.9845201238390092,0.9814814814814816,0.0009085953116481,0.982998454404946
internvl3_vqav2,internvl3,vqav2,36D,1,36,canonical_finite,0.4981398284435272,0.9888888888888888,0.9175257731958762,0.9518716577540108,0.0007038535984515,4,22389,3796,6071,6031,289,279,265,14,24,5728,0.949820788530466,0.916955017301038,0.0024381748519679,0.9330985915492958
internvl3_vqav2,internvl3,vqav2,36D,1,36,full,0.4981398284435272,0.9888888888888888,0.9175257731958762,0.9518716577540108,0.0007038535984515,4,22389,3796,6071,6086,344,334,320,14,24,5728,0.9580838323353292,0.9302325581395348,0.0024381748519679,0.943952802359882
llava15_earthvqa,llava15,earthvqa,36D,1,36,canonical_finite,0.7912459969520569,0.9914529914529916,0.943089430894309,0.9666666666666668,0.0001765848490199,244,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.0001768346595932,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,36D,1,36,full,0.7912459969520569,0.9914529914529916,0.943089430894309,0.9666666666666668,0.0001765848490199,244,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709676,0.9389312977099236,0.0001768346595932,0.9647058823529412
llava15_lingoqa,llava15,lingoqa,36D,1,36,canonical_finite,0.7105012536048889,0.9896907216494846,0.9142857142857144,0.9504950495049506,0.0001746724890829,602,22762,4070,5830,5744,54,33,32,1,22,5689,0.9696969696969696,0.5925925925925926,0.0001757469244288,0.735632183908046
llava15_lingoqa,llava15,lingoqa,36D,1,36,full,0.7105012536048889,0.9896907216494846,0.9142857142857144,0.9504950495049506,0.0001746724890829,602,22762,4070,5830,5830,140,119,118,1,22,5689,0.9915966386554622,0.8428571428571429,0.0001757469244288,0.9111969111969112
