profile,k,feature_count,cohort,tasks,precision,recall,f1,false_positive_rate,fpr_percent
36D,1,36,canonical_finite,9,0.9082796764643333,0.7853282081362821,0.8377726092792274,0.001491485909971989,0.14914859099719888
36D,2,36,canonical_finite,9,0.899641232122772,0.7867663761577148,0.8328754670514205,0.0015458754622198001,0.15458754622198
36D,4,36,canonical_finite,9,0.941429874974103,0.7863783109438638,0.8475749604366748,0.001993114124548722,0.1993114124548722
36D,8,36,canonical_finite,9,0.9090569070765562,0.7886455839356359,0.8381970990634093,0.0016206867449183445,0.16206867449183446
36D,12,36,canonical_finite,9,0.9788237261699061,0.7913235715486392,0.8677056093770638,0.0006272535205836445,0.06272535205836445
36D,16,36,canonical_finite,9,0.883316405635944,0.7973017741418097,0.8263663939860553,0.0022630466159915667,0.22630466159915666
36D,20,36,canonical_finite,9,0.9457085172906,0.7994630366460841,0.8600629329575686,0.0010619715496381667,0.10619715496381667
36D,24,36,canonical_finite,9,0.9129707838550392,0.7983486997635716,0.8389414849835641,0.0015448004806840555,0.15448004806840554
36D,28,36,canonical_finite,9,0.9826075810720005,0.7964850239868523,0.8738768701426617,0.00027705191016347774,0.027705191016347774
36D,32,36,canonical_finite,9,0.9645370127088143,0.7976896875091827,0.8662693313512487,0.0009419336002049557,0.09419336002049557
48D,1,48,canonical_finite,9,0.8928920507266555,0.7831830929008377,0.8279650841140328,0.0020225914665631334,0.20225914665631334
48D,2,48,canonical_finite,9,0.9315284023256343,0.7839140056930511,0.8434624428677442,0.0016254052128086222,0.16254052128086222
48D,4,48,canonical_finite,9,0.9213780950353537,0.791915837687956,0.845483284552716,0.0019324213071420333,0.19324213071420332
48D,8,48,canonical_finite,9,0.8747760144049032,0.7990399305606929,0.8271965847831966,0.002445735336322778,0.2445735336322778
48D,12,48,canonical_finite,9,0.9391450963232999,0.7926958014450153,0.853082384921099,0.0009006484852196446,0.09006484852196446
48D,16,48,canonical_finite,9,0.920645374106379,0.799140209273506,0.8477796445181194,0.0009165886855980999,0.09165886855980998
48D,20,48,canonical_finite,9,0.8545620697550187,0.7996374194977444,0.8194770108530158,0.002012967001686889,0.2012967001686889
48D,24,48,canonical_finite,9,0.8433401624327435,0.7988172234879092,0.8104807401917048,0.001737680666004311,0.17376806660043112
48D,28,48,canonical_finite,9,0.8804199553970204,0.8023025182740308,0.8310628174677045,0.0019161992945354667,0.19161992945354667
48D,32,48,canonical_finite,9,0.8370386204173195,0.8012850142494536,0.8125071103647886,0.002328145191115011,0.2328145191115011
60D,1,60,canonical_finite,9,0.9218517047278083,0.7707782408141522,0.8288499870833184,0.0023549412859155444,0.23549412859155444
60D,2,60,canonical_finite,9,0.8902767929654283,0.7775674344888379,0.8223887771918311,0.0023529966230703223,0.23529966230703223
60D,4,60,canonical_finite,9,0.9476288669454667,0.788260299411897,0.8534098171328185,0.0013633978485998667,0.13633978485998668
60D,8,60,canonical_finite,9,0.9381510772050888,0.7907562955708056,0.8493578730903495,0.0020814479069942446,0.20814479069942446
60D,12,60,canonical_finite,9,0.9739456153531703,0.7852181573098609,0.8611779601630358,0.0008736996650798556,0.08736996650798556
60D,16,60,canonical_finite,9,0.9231279351802595,0.7893566259138556,0.8410343191059301,0.0013237826320912334,0.13237826320912335
60D,20,60,canonical_finite,9,0.8436694007159579,0.7908465806201845,0.8082224493960867,0.0026211472672412334,0.26211472672412334
60D,24,60,canonical_finite,9,0.890039630885989,0.7947676039036461,0.8301070157672014,0.0021244744723309555,0.21244744723309555
60D,28,60,canonical_finite,9,0.8565605374984386,0.7896602127754481,0.8112180545183949,0.002703420603639789,0.2703420603639789
60D,32,60,canonical_finite,9,0.8711877133691098,0.794337466662872,0.8179555488301622,0.0024120186737057996,0.24120186737057997
72D,1,72,canonical_finite,9,0.9351198738056835,0.7841837305196163,0.8452129045514805,0.0017116378350123,0.17116378350123
72D,2,72,canonical_finite,9,0.9238894510338608,0.7874282159922773,0.8466745944601715,0.0012198658747139333,0.12198658747139333
72D,4,72,canonical_finite,9,0.8650959206135619,0.7958330398807703,0.8266563087571471,0.0023195671370368444,0.23195671370368443
72D,8,72,canonical_finite,9,0.8989950483165001,0.7997438548230291,0.8418846693779886,0.0016443341056224887,0.16443341056224886
72D,12,72,canonical_finite,9,0.981103237427111,0.7914104523335792,0.868831174879163,0.0004108139183084333,0.04108139183084333
72D,16,72,canonical_finite,9,0.9749014021274751,0.7940529766249214,0.8691227624299303,0.0004699082353951556,0.046990823539515565
72D,20,72,canonical_finite,9,0.881018482173162,0.794669358401897,0.8296769039756007,0.001403331799232689,0.1403331799232689
72D,24,72,canonical_finite,9,0.9241753331966609,0.7921411882977709,0.8469804937947628,0.0007234085322937667,0.07234085322937667
72D,28,72,canonical_finite,9,0.902265528897374,0.7941877893624084,0.837425051225162,0.0013719878956480556,0.13719878956480555
72D,32,72,canonical_finite,9,0.8839810776760617,0.7949347711842347,0.8284165297974257,0.0016963213194302557,0.16963213194302557
36D,1,36,full,9,0.9508335898877378,0.881737225067432,0.9138686583180424,0.001491485909971989,0.14914859099719888
36D,2,36,full,9,0.9490757282334985,0.8808542501546287,0.9114744396029769,0.0015458754622198001,0.15458754622198
36D,4,36,full,9,0.9568960363488023,0.881987354820041,0.9156896206187262,0.001993114124548722,0.1993114124548722
36D,8,36,full,9,0.9531860829648076,0.8838911288807451,0.9150887028137529,0.0016206867449183445,0.16206867449183446
36D,12,36,full,9,0.9836991873281902,0.8844501683640138,0.9296783741456763,0.0006272535205836445,0.06272535205836445
36D,16,36,full,9,0.9294063097260091,0.8871864254988018,0.9041010092699486,0.0022630466159915667,0.22630466159915666
36D,20,36,full,9,0.9665097746194594,0.8876374552415638,0.9234320380580024,0.0010619715496381667,0.10619715496381667
36D,24,36,full,9,0.9534339293195043,0.8867731988787815,0.913925680076471,0.0015448004806840555,0.15448004806840554
36D,28,36,full,9,0.9917197180016443,0.8865965585887147,0.9342205336320796,0.00027705191016347774,0.027705191016347774
36D,32,36,full,9,0.9744077233071216,0.887554623394656,0.9271348997952334,0.0009419336002049557,0.09419336002049557
48D,1,48,full,9,0.9395252706093906,0.8808544423234816,0.9078420420824401,0.0020225914665631334,0.20225914665631334
48D,2,48,full,9,0.9523161497152787,0.8802293450430756,0.9125984193026704,0.0016254052128086222,0.16254052128086222
48D,4,48,full,9,0.9523666019326557,0.8854119793362475,0.9159658058067967,0.0019324213071420333,0.19324213071420332
48D,8,48,full,9,0.9277659675086327,0.8884368644587478,0.9054236270873542,0.002445735336322778,0.2445735336322778
48D,12,48,full,9,0.9717667017036768,0.8855562527629269,0.9244023391487721,0.0009006484852196446,0.09006484852196446
48D,16,48,full,9,0.9666803092475278,0.8882575349950506,0.9231114221604108,0.0009165886855980999,0.09165886855980998
