job,model,dataset,profile,k,feature_count,cohort,selection_validation_rows,strict_reference_feature_count,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_earthvqa,internvl3,earthvqa,36D,1,36,strict_finite,5551,36,89,77,73,4,16,5458,0.948051948051948,0.8202247191011236,0.0007323324789454412,0.8795180722891566
internvl3_lingoqa,internvl3,lingoqa,36D,1,36,strict_finite,5596,36,93,92,87,5,6,5498,0.9456521739130435,0.9354838709677419,0.0009085953116481918,0.9405405405405406
internvl3_vqav2,internvl3,vqav2,36D,1,36,strict_finite,5841,36,99,89,75,14,24,5728,0.8426966292134831,0.7575757575757576,0.0024381748519679554,0.7978723404255319
llava15_earthvqa,llava15,earthvqa,36D,1,36,strict_finite,5669,36,14,7,6,1,8,5654,0.8571428571428571,0.42857142857142855,0.00017683465959328028,0.5714285714285714
llava15_lingoqa,llava15,lingoqa,36D,1,36,strict_finite,5719,36,29,8,7,1,22,5689,0.875,0.2413793103448276,0.0001757469244288225,0.3783783783783784
llava15_vqav2,llava15,vqav2,36D,1,36,strict_finite,5993,36,23,19,6,13,17,5957,0.3157894736842105,0.2608695652173913,0.0021775544388609714,0.2857142857142857
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,1,36,strict_finite,5659,36,56,48,46,2,10,5601,0.9583333333333334,0.8214285714285714,0.0003569516330537212,0.8846153846153846
qwen25_vl_lingoqa,qwen25_vl,lingoqa,36D,1,36,strict_finite,5732,36,87,72,48,24,39,5621,0.6666666666666666,0.5517241379310345,0.004251550044286979,0.6037735849056604
qwen25_vl_vqav2,qwen25_vl,vqav2,36D,1,36,strict_finite,5993,36,99,58,45,13,54,5881,0.7758620689655172,0.45454545454545453,0.002205632846963013,0.5732484076433121
internvl3_earthvqa,internvl3,earthvqa,36D,2,36,strict_finite,5551,36,89,72,71,1,18,5461,0.9861111111111112,0.797752808988764,0.0001830831197363603,0.8819875776397516
internvl3_lingoqa,internvl3,lingoqa,36D,2,36,strict_finite,5596,36,93,91,86,5,7,5498,0.945054945054945,0.9247311827956989,0.0009085953116481918,0.9347826086956522
