profile,k,feature_count,cohort,tasks,precision,recall,f1,false_positive_rate,fpr_percent
36D,1,36,strict_finite,9,0.7983550167745622,0.585755868409259,0.6572321739934246,0.0014914859099720418,0.14914859099720418
36D,2,36,strict_finite,9,0.7794458356535016,0.5866017804004501,0.6526187295078633,0.001545875462219844,0.1545875462219844
36D,4,36,strict_finite,9,0.8616292675609333,0.5873166677082859,0.6565991809318974,0.001993114124548754,0.19931141245487538
36D,8,36,strict_finite,9,0.8168133983531196,0.5908174455356554,0.6625940365307453,0.0016206867449183812,0.16206867449183812
36D,12,36,strict_finite,9,0.9518038023998753,0.5904424013398251,0.6970802085081496,0.0006272535205836664,0.06272535205836664
36D,16,36,strict_finite,9,0.8174197289265783,0.6018825254876403,0.6676988217465607,0.002263046615991601,0.2263046615991601
36D,20,36,strict_finite,9,0.8759845031861739,0.6084257766243432,0.6993399491372223,0.001061971549638196,0.1061971549638196
36D,24,36,strict_finite,9,0.8594364301868564,0.6071923463332416,0.6881157642917168,0.0015448004806840965,0.15448004806840965
36D,28,36,strict_finite,9,0.9486365255435145,0.601591628336728,0.7148632125916125,0.00027705191016350896,0.027705191016350897
36D,32,36,strict_finite,9,0.9201644984484947,0.6040447983210292,0.7012667937759142,0.000941933600204995,0.09419336002049951
48D,1,48,strict_finite,9,0.7872193626746186,0.5816248286831136,0.6412350086465843,0.0020225914665631794,0.20225914665631795
48D,2,48,strict_finite,9,0.8656800466022255,0.58257908616641,0.6694769364696742,0.0016254052128086714,0.16254052128086713
48D,4,48,strict_finite,9,0.8036197760145567,0.5981561093041009,0.6622973849949145,0.0019324213071420723,0.19324213071420723
48D,8,48,strict_finite,9,0.7798770935531167,0.6127815571041131,0.6631481698739748,0.002445735336322807,0.24457353363228068
48D,12,48,strict_finite,9,0.8693803612252325,0.5943138246869037,0.6830251506148618,0.0009006484852196675,0.09006484852196675
48D,16,48,strict_finite,9,0.8353021607158568,0.6137086486794289,0.6845276248904075,0.0009165886855981363,0.09165886855981363
48D,20,48,strict_finite,9,0.7262030006112217,0.6128235150542137,0.6521545931694336,0.0020129670016869276,0.20129670016869275
48D,24,48,strict_finite,9,0.7304148137481471,0.6116474842780862,0.6442426035710969,0.0017376806660043373,0.17376806660043373
48D,28,48,strict_finite,9,0.7706583650856335,0.6186374041966451,0.6621147124592688,0.0019161992945355099,0.191619929453551
48D,32,48,strict_finite,9,0.6895346186774017,0.6172911271031384,0.6383958764747262,0.002328145191115067,0.23281451911150672
60D,1,60,strict_finite,9,0.8357549241712453,0.5706628974313273,0.6435101699433152,0.002354941285915584,0.23549412859155838
60D,2,60,strict_finite,9,0.7908198168586154,0.5791833830419195,0.6366034953427151,0.0023529966230703475,0.23529966230703475
60D,4,60,strict_finite,9,0.8696361998306323,0.5946545333609459,0.6765877624365003,0.0013633978485998973,0.13633978485998974
60D,8,60,strict_finite,9,0.8537126603291587,0.6047096052137705,0.6707368825428062,0.002081447906994264,0.2081447906994264
60D,12,60,strict_finite,9,0.9213759928179405,0.587410875418489,0.6861661045810858,0.0008736996650798906,0.08736996650798906
60D,16,60,strict_finite,9,0.843847220844724,0.600274835089242,0.6709451462732523,0.0013237826320912753,0.13237826320912752
60D,20,60,strict_finite,9,0.7119000865294519,0.6062685255471519,0.6376935049134184,0.002621147267241269,0.2621147267241269
60D,24,60,strict_finite,9,0.7897689263542922,0.6096355289141553,0.6629768767852626,0.002124474472330992,0.2124474472330992
60D,28,60,strict_finite,9,0.7378020550170998,0.6003222472008285,0.6361892337946098,0.0027034206036398345,0.27034206036398345
60D,32,60,strict_finite,9,0.7463697145324172,0.6117518634993586,0.6441082132191006,0.002412018673705838,0.24120186737058377
72D,1,72,strict_finite,9,0.866140842301833,0.583753773016359,0.6594135923244454,0.0017116378350123288,0.17116378350123287
72D,2,72,strict_finite,9,0.8283434771086003,0.5860622071250448,0.671107981728453,0.001219865874713974,0.12198658747139741
72D,4,72,strict_finite,9,0.7162525001500862,0.6020974062702338,0.6452979885761211,0.00231956713703689,0.23195671370368898
72D,8,72,strict_finite,9,0.8079890200473977,0.614772785504337,0.6830651518194976,0.0016443341056225451,0.16443341056225452
72D,12,72,strict_finite,9,0.9371054149422944,0.5985587105918114,0.7044230141099289,0.00041081391830845673,0.04108139183084567
72D,16,72,strict_finite,9,0.9212886728676906,0.6094407184390916,0.7132483416071645,0.0004699082353951859,0.04699082353951859
72D,20,72,strict_finite,9,0.7737457569620491,0.6029037515112619,0.6653382527180349,0.0014033317992327293,0.14033317992327293
72D,24,72,strict_finite,9,0.8388001521392606,0.6005766865219795,0.6862974257958345,0.0007234085322938049,0.07234085322938048
72D,28,72,strict_finite,9,0.805512771623761,0.6016266123030882,0.667859065343856,0.0013719878956480972,0.13719878956480971
72D,32,72,strict_finite,9,0.7776338863465898,0.605195832534184,0.6613866016627662,0.00169632131943031,0.169632131943031
