job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_earthvqa,internvl3,earthvqa,48D,1,48,canonical_finite,0.6080902218818665,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,424,22824,4039,5764,5715,253,240,237,3,16,5459,0.9875,0.9367588932806324,0.0005492493592090809,0.9614604462474645
internvl3_earthvqa,internvl3,earthvqa,48D,1,48,full,0.6080902218818665,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,424,22824,4039,5764,5773,311,298,295,3,16,5459,0.9899328859060402,0.9485530546623794,0.0005492493592090809,0.9688013136288999
internvl3_earthvqa,internvl3,earthvqa,48D,2,48,canonical_finite,0.9582650065422058,1.0,0.9464285714285714,0.9724770642201834,0.0,429,22824,4039,5764,5715,253,236,235,1,18,5461,0.9957627118644068,0.9288537549407114,0.0001830831197363603,0.9611451942740287
internvl3_earthvqa,internvl3,earthvqa,48D,2,48,full,0.9582650065422058,1.0,0.9464285714285714,0.9724770642201834,0.0,429,22824,4039,5764,5773,311,294,293,1,18,5461,0.9965986394557823,0.9421221864951769,0.0001830831197363603,0.968595041322314
internvl3_earthvqa,internvl3,earthvqa,48D,4,48,canonical_finite,0.3897574543952942,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,135,22824,4039,5764,5715,253,283,238,45,15,5417,0.8409893992932862,0.9407114624505929,0.008238740388136214,0.8880597014925373
internvl3_earthvqa,internvl3,earthvqa,48D,4,48,full,0.3897574543952942,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,135,22824,4039,5764,5773,311,341,296,45,15,5417,0.8680351906158358,0.9517684887459807,0.008238740388136214,0.9079754601226994
internvl3_earthvqa,internvl3,earthvqa,48D,8,48,canonical_finite,0.49513500928878784,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,30,22824,4039,5764,5715,253,247,237,10,16,5452,0.9595141700404858,0.9367588932806324,0.001830831197363603,0.948
internvl3_earthvqa,internvl3,earthvqa,48D,8,48,full,0.49513500928878784,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,30,22824,4039,5764,5773,311,305,295,10,16,5452,0.9672131147540983,0.9485530546623794,0.001830831197363603,0.9577922077922078
internvl3_earthvqa,internvl3,earthvqa,48D,12,48,canonical_finite,0.5138286352157593,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,4,22824,4039,5764,5715,253,241,237,4,16,5458,0.983402489626556,0.9367588932806324,0.0007323324789454412,0.9595141700404858
internvl3_earthvqa,internvl3,earthvqa,48D,12,48,full,0.5138286352157593,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,4,22824,4039,5764,5773,311,299,295,4,16,5458,0.9866220735785953,0.9485530546623794,0.0007323324789454412,0.9672131147540983
internvl3_earthvqa,internvl3,earthvqa,48D,16,48,canonical_finite,0.5090909600257874,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,242,22824,4039,5764,5715,253,239,237,2,16,5460,0.9916317991631799,0.9367588932806324,0.0003661662394727206,0.9634146341463414
internvl3_earthvqa,internvl3,earthvqa,48D,16,48,full,0.5090909600257874,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,242,22824,4039,5764,5773,311,297,295,2,16,5460,0.9932659932659933,0.9485530546623794,0.0003661662394727206,0.9703947368421053
internvl3_earthvqa,internvl3,earthvqa,48D,20,48,canonical_finite,0.6521391868591309,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,388,22824,4039,5764,5715,253,239,237,2,16,5460,0.9916317991631799,0.9367588932806324,0.0003661662394727206,0.9634146341463414
internvl3_earthvqa,internvl3,earthvqa,48D,20,48,full,0.6521391868591309,0.9937694704049844,0.9494047619047619,0.9710806697108066,0.00036845983787767134,388,22824,4039,5764,5773,311,297,295,2,16,5460,0.9932659932659933,0.9485530546623794,0.0003661662394727206,0.9703947368421053
internvl3_earthvqa,internvl3,earthvqa,48D,24,48,canonical_finite,0.504591703414917,0.990625,0.9434523809523809,0.9664634146341462,0.000552689756816507,0,22824,4039,5764,5715,253,238,236,2,17,5460,0.9915966386554622,0.932806324110672,0.0003661662394727206,0.9613034623217923
internvl3_earthvqa,internvl3,earthvqa,48D,24,48,full,0.504591703414917,0.990625,0.9434523809523809,0.9664634146341462,0.000552689756816507,0,22824,4039,5764,5773,311,296,294,2,17,5460,0.9932432432432432,0.9453376205787781,0.0003661662394727206,0.9686985172981878
internvl3_earthvqa,internvl3,earthvqa,48D,28,48,canonical_finite,0.504591703414917,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,0,22824,4039,5764,5715,253,236,235,1,18,5461,0.9957627118644068,0.9288537549407114,0.0001830831197363603,0.9611451942740287
internvl3_earthvqa,internvl3,earthvqa,48D,28,48,full,0.504591703414917,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,0,22824,4039,5764,5773,311,294,293,1,18,5461,0.9965986394557823,0.9421221864951769,0.0001830831197363603,0.968595041322314
internvl3_earthvqa,internvl3,earthvqa,48D,32,48,canonical_finite,0.504591703414917,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,0,22824,4039,5764,5715,253,237,236,1,17,5461,0.9957805907172996,0.932806324110672,0.0001830831197363603,0.963265306122449
internvl3_earthvqa,internvl3,earthvqa,48D,32,48,full,0.504591703414917,0.99375,0.9464285714285714,0.9695121951219512,0.00036845983787767134,0,22824,4039,5764,5773,311,295,294,1,17,5461,0.9966101694915255,0.9453376205787781,0.0001830831197363603,0.9702970297029703
