job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_lingoqa,internvl3,lingoqa,60D,1,60,canonical_finite,0.7439320683479309,1.0,0.8537234042553191,0.921090387374462,0.0,302,22757,4069,5827,5776,273,285,261,24,12,5479,0.9157894736842105,0.9560439560439561,0.004361257495911321,0.9354838709677419
internvl3_lingoqa,internvl3,lingoqa,60D,1,60,full,0.7439320683479309,1.0,0.8537234042553191,0.921090387374462,0.0,302,22757,4069,5827,5827,324,336,312,24,12,5479,0.9285714285714286,0.9629629629629629,0.004361257495911321,0.9454545454545454
internvl3_lingoqa,internvl3,lingoqa,60D,2,60,canonical_finite,0.5128940939903259,1.0,0.8537234042553191,0.921090387374462,0.0,6,22757,4069,5827,5776,273,268,265,3,8,5500,0.9888059701492538,0.9706959706959707,0.0005451571869889151,0.9796672828096118
internvl3_lingoqa,internvl3,lingoqa,60D,2,60,full,0.5128940939903259,1.0,0.8537234042553191,0.921090387374462,0.0,6,22757,4069,5827,5827,324,319,316,3,8,5500,0.9905956112852664,0.9753086419753086,0.0005451571869889151,0.9828926905132193
internvl3_lingoqa,internvl3,lingoqa,60D,4,60,canonical_finite,0.5697192549705505,1.0,0.8643617021276596,0.927246790299572,0.0,382,22757,4069,5827,5776,273,271,266,5,7,5498,0.981549815498155,0.9743589743589743,0.0009085953116481918,0.9779411764705882
internvl3_lingoqa,internvl3,lingoqa,60D,4,60,full,0.5697192549705505,1.0,0.8643617021276596,0.927246790299572,0.0,382,22757,4069,5827,5827,324,322,317,5,7,5498,0.984472049689441,0.9783950617283951,0.0009085953116481918,0.9814241486068112
internvl3_lingoqa,internvl3,lingoqa,60D,8,60,canonical_finite,0.46944981813430786,0.9908536585365854,0.8643617021276596,0.9232954545454546,0.000550357732526142,29,22757,4069,5827,5776,273,313,266,47,7,5456,0.8498402555910544,0.9743589743589743,0.008540795929493004,0.9078498293515358
internvl3_lingoqa,internvl3,lingoqa,60D,8,60,full,0.46944981813430786,0.9908536585365854,0.8643617021276596,0.9232954545454546,0.000550357732526142,29,22757,4069,5827,5827,324,364,317,47,7,5456,0.8708791208791209,0.9783950617283951,0.008540795929493004,0.9215116279069767
internvl3_lingoqa,internvl3,lingoqa,60D,12,60,canonical_finite,0.5016323924064636,0.9969135802469136,0.8590425531914894,0.9228571428571429,0.000183452577508714,2,22757,4069,5827,5776,273,291,265,26,8,5477,0.9106529209621993,0.9706959706959707,0.004724695620570598,0.9397163120567376
internvl3_lingoqa,internvl3,lingoqa,60D,12,60,full,0.5016323924064636,0.9969135802469136,0.8590425531914894,0.9228571428571429,0.000183452577508714,2,22757,4069,5827,5827,324,342,316,26,8,5477,0.9239766081871345,0.9753086419753086,0.004724695620570598,0.948948948948949
internvl3_lingoqa,internvl3,lingoqa,60D,16,60,canonical_finite,0.468710333108902,0.9969325153374233,0.8643617021276596,0.9259259259259259,0.000183452577508714,96,22757,4069,5827,5776,273,288,265,23,8,5480,0.9201388888888888,0.9706959706959707,0.004179538433581683,0.9447415329768271
internvl3_lingoqa,internvl3,lingoqa,60D,16,60,full,0.468710333108902,0.9969325153374233,0.8643617021276596,0.9259259259259259,0.000183452577508714,96,22757,4069,5827,5827,324,339,316,23,8,5480,0.9321533923303835,0.9753086419753086,0.004179538433581683,0.9532428355957768
internvl3_lingoqa,internvl3,lingoqa,60D,20,60,canonical_finite,0.5050882697105408,1.0,0.8670212765957447,0.9287749287749287,0.0,2,22757,4069,5827,5776,273,287,266,21,7,5482,0.926829268292683,0.9743589743589743,0.003816100308922406,0.95
internvl3_lingoqa,internvl3,lingoqa,60D,20,60,full,0.5050882697105408,1.0,0.8670212765957447,0.9287749287749287,0.0,2,22757,4069,5827,5827,324,338,317,21,7,5482,0.9378698224852071,0.9783950617283951,0.003816100308922406,0.9577039274924471
internvl3_lingoqa,internvl3,lingoqa,60D,24,60,canonical_finite,0.4193381071090698,0.9969604863221885,0.8723404255319149,0.9304964539007093,0.000183452577508714,100,22757,4069,5827,5776,273,303,266,37,7,5466,0.8778877887788779,0.9743589743589743,0.00672360530619662,0.9236111111111112
internvl3_lingoqa,internvl3,lingoqa,60D,24,60,full,0.4193381071090698,0.9969604863221885,0.8723404255319149,0.9304964539007093,0.000183452577508714,100,22757,4069,5827,5827,324,354,317,37,7,5466,0.8954802259887006,0.9783950617283951,0.00672360530619662,0.9351032448377581
internvl3_lingoqa,internvl3,lingoqa,60D,28,60,canonical_finite,0.4360243082046509,0.996969696969697,0.875,0.9320113314447591,0.000183452577508714,166,22757,4069,5827,5776,273,328,267,61,6,5442,0.8140243902439024,0.978021978021978,0.011084862802107942,0.8885191347753744
internvl3_lingoqa,internvl3,lingoqa,60D,28,60,full,0.4360243082046509,0.996969696969697,0.875,0.9320113314447591,0.000183452577508714,166,22757,4069,5827,5827,324,379,318,61,6,5442,0.8390501319261213,0.9814814814814815,0.011084862802107942,0.9046941678520626
internvl3_lingoqa,internvl3,lingoqa,60D,32,60,canonical_finite,0.3066827356815338,0.996969696969697,0.875,0.9320113314447591,0.000183452577508714,234,22757,4069,5827,5776,273,309,267,42,6,5461,0.8640776699029126,0.978021978021978,0.007632200617844812,0.9175257731958762
internvl3_lingoqa,internvl3,lingoqa,60D,32,60,full,0.3066827356815338,0.996969696969697,0.875,0.9320113314447591,0.000183452577508714,234,22757,4069,5827,5827,324,360,318,42,6,5461,0.8833333333333333,0.9814814814814815,0.007632200617844812,0.9298245614035088
