job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
internvl3_vqav2,internvl3,vqav2,48D,1,48,canonical_finite,0.49085885286331177,1.0,0.9149484536082474,0.955585464333782,0.0,5,22389,3796,6071,6031,289,302,265,37,24,5705,0.8774834437086093,0.916955017301038,0.006443747823058168,0.8967851099830795
internvl3_vqav2,internvl3,vqav2,48D,1,48,full,0.49085885286331177,1.0,0.9149484536082474,0.955585464333782,0.0,5,22389,3796,6071,6086,344,357,320,37,24,5705,0.896358543417367,0.9302325581395349,0.006443747823058168,0.912981455064194
internvl3_vqav2,internvl3,vqav2,48D,2,48,canonical_finite,0.6566135287284851,1.0,0.9149484536082474,0.955585464333782,0.0,41,22389,3796,6071,6031,289,267,266,1,23,5741,0.9962546816479401,0.9204152249134948,0.00017415534656913968,0.9568345323741008
internvl3_vqav2,internvl3,vqav2,48D,2,48,full,0.6566135287284851,1.0,0.9149484536082474,0.955585464333782,0.0,41,22389,3796,6071,6086,344,322,321,1,23,5741,0.9968944099378882,0.9331395348837209,0.00017415534656913968,0.963963963963964
internvl3_vqav2,internvl3,vqav2,48D,4,48,canonical_finite,0.554922878742218,0.9971671388101983,0.9072164948453608,0.9500674763832658,0.00017596339961288053,24,22389,3796,6071,6031,289,269,267,2,22,5740,0.9925650557620818,0.9238754325259516,0.00034831069313827936,0.956989247311828
internvl3_vqav2,internvl3,vqav2,48D,4,48,full,0.554922878742218,0.9971671388101983,0.9072164948453608,0.9500674763832658,0.00017596339961288053,24,22389,3796,6071,6086,344,324,322,2,22,5740,0.9938271604938271,0.936046511627907,0.00034831069313827936,0.9640718562874252
internvl3_vqav2,internvl3,vqav2,48D,8,48,canonical_finite,0.6948477625846863,0.9943820224719101,0.9123711340206185,0.9516129032258065,0.00035192679922576106,175,22389,3796,6071,6031,289,280,268,12,21,5730,0.9571428571428572,0.9273356401384083,0.0020898641588296763,0.9420035149384886
internvl3_vqav2,internvl3,vqav2,48D,8,48,full,0.6948477625846863,0.9943820224719101,0.9123711340206185,0.9516129032258065,0.00035192679922576106,175,22389,3796,6071,6086,344,335,323,12,21,5730,0.9641791044776119,0.938953488372093,0.0020898641588296763,0.9513991163475699
internvl3_vqav2,internvl3,vqav2,48D,12,48,canonical_finite,0.700427234172821,0.9943977591036415,0.9149484536082474,0.953020134228188,0.00035192679922576106,391,22389,3796,6071,6031,289,278,267,11,22,5731,0.960431654676259,0.9238754325259516,0.0019157088122605363,0.9417989417989417
internvl3_vqav2,internvl3,vqav2,48D,12,48,full,0.700427234172821,0.9943977591036415,0.9149484536082474,0.953020134228188,0.00035192679922576106,391,22389,3796,6071,6086,344,333,322,11,22,5731,0.9669669669669669,0.936046511627907,0.0019157088122605363,0.9512555391432792
internvl3_vqav2,internvl3,vqav2,48D,16,48,canonical_finite,0.552762508392334,0.9916434540389972,0.9175257731958762,0.9531459170013387,0.0005278901988386416,412,22389,3796,6071,6031,289,281,270,11,19,5731,0.9608540925266904,0.9342560553633218,0.0019157088122605363,0.9473684210526315
internvl3_vqav2,internvl3,vqav2,48D,16,48,full,0.552762508392334,0.9916434540389972,0.9175257731958762,0.9531459170013387,0.0005278901988386416,412,22389,3796,6071,6086,344,336,325,11,19,5731,0.9672619047619048,0.9447674418604651,0.0019157088122605363,0.9558823529411765
internvl3_vqav2,internvl3,vqav2,48D,20,48,canonical_finite,0.5047988891601562,0.9971671388101983,0.9072164948453608,0.9500674763832658,0.00017596339961288053,0,22389,3796,6071,6031,289,267,267,0,22,5742,1.0,0.9238754325259516,0.0,0.960431654676259
internvl3_vqav2,internvl3,vqav2,48D,20,48,full,0.5047988891601562,0.9971671388101983,0.9072164948453608,0.9500674763832658,0.00017596339961288053,0,22389,3796,6071,6086,344,322,322,0,22,5742,1.0,0.936046511627907,0.0,0.9669669669669669
internvl3_vqav2,internvl3,vqav2,48D,24,48,canonical_finite,0.6248683929443359,0.9971671388101983,0.9072164948453608,0.9500674763832658,0.00017596339961288053,35,22389,3796,6071,6031,289,267,267,0,22,5742,1.0,0.9238754325259516,0.0,0.960431654676259
internvl3_vqav2,internvl3,vqav2,48D,24,48,full,0.6248683929443359,0.9971671388101983,0.9072164948453608,0.9500674763832658,0.00017596339961288053,35,22389,3796,6071,6086,344,322,322,0,22,5742,1.0,0.936046511627907,0.0,0.9669669669669669
internvl3_vqav2,internvl3,vqav2,48D,28,48,canonical_finite,0.5043880939483643,0.9888888888888889,0.9175257731958762,0.9518716577540107,0.0007038535984515221,2,22389,3796,6071,6031,289,285,270,15,19,5727,0.9473684210526315,0.9342560553633218,0.002612330198537095,0.9407665505226481
internvl3_vqav2,internvl3,vqav2,48D,28,48,full,0.5043880939483643,0.9888888888888889,0.9175257731958762,0.9518716577540107,0.0007038535984515221,2,22389,3796,6071,6086,344,340,325,15,19,5727,0.9558823529411765,0.9447674418604651,0.002612330198537095,0.9502923976608187
