job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_earthvqa,llava15,earthvqa,48D,1,48,canonical_finite,0.7706836462020874,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,546,22878,4047,5786,5697,42,34,33,1,9,5654,0.9705882352941176,0.7857142857142857,0.00017683465959328028,0.868421052631579
llava15_earthvqa,llava15,earthvqa,48D,1,48,full,0.7706836462020874,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,546,22878,4047,5786,5786,131,123,122,1,9,5654,0.991869918699187,0.9312977099236641,0.00017683465959328028,0.9606299212598425
llava15_earthvqa,llava15,earthvqa,48D,2,48,canonical_finite,0.8634397983551025,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,217,22878,4047,5786,5697,42,33,33,0,9,5655,1.0,0.7857142857142857,0.0,0.88
llava15_earthvqa,llava15,earthvqa,48D,2,48,full,0.8634397983551025,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,217,22878,4047,5786,5786,131,122,122,0,9,5655,1.0,0.9312977099236641,0.0,0.9644268774703557
llava15_earthvqa,llava15,earthvqa,48D,4,48,canonical_finite,0.5886678099632263,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,29,22878,4047,5786,5697,42,37,35,2,7,5653,0.9459459459459459,0.8333333333333334,0.00035366931918656057,0.8860759493670886
llava15_earthvqa,llava15,earthvqa,48D,4,48,full,0.5886678099632263,0.9830508474576272,0.943089430894309,0.9626556016597511,0.0003531696980399082,29,22878,4047,5786,5786,131,126,124,2,7,5653,0.9841269841269841,0.9465648854961832,0.00035366931918656057,0.9649805447470817
llava15_earthvqa,llava15,earthvqa,48D,8,48,canonical_finite,0.5853480100631714,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,24,22878,4047,5786,5697,42,37,36,1,6,5654,0.972972972972973,0.8571428571428571,0.00017683465959328028,0.9113924050632911
llava15_earthvqa,llava15,earthvqa,48D,8,48,full,0.5853480100631714,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,24,22878,4047,5786,5786,131,126,125,1,6,5654,0.9920634920634921,0.9541984732824428,0.00017683465959328028,0.9727626459143969
llava15_earthvqa,llava15,earthvqa,48D,12,48,canonical_finite,0.5778549909591675,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,16,22878,4047,5786,5697,42,35,34,1,8,5654,0.9714285714285714,0.8095238095238095,0.00017683465959328028,0.8831168831168831
llava15_earthvqa,llava15,earthvqa,48D,12,48,full,0.5778549909591675,0.9914529914529915,0.943089430894309,0.9666666666666667,0.0001765848490199541,16,22878,4047,5786,5786,131,124,123,1,8,5654,0.9919354838709677,0.9389312977099237,0.00017683465959328028,0.9647058823529412
