job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
llava15_lingoqa,llava15,lingoqa,60D,1,60,canonical_finite,0.48457831144332886,0.98989898989899,0.9333333333333333,0.9607843137254903,0.00017467248908296942,18,22762,4070,5830,5744,54,35,32,3,22,5687,0.9142857142857143,0.5925925925925926,0.0005272407732864675,0.7191011235955056
llava15_lingoqa,llava15,lingoqa,60D,1,60,full,0.48457831144332886,0.98989898989899,0.9333333333333333,0.9607843137254903,0.00017467248908296942,18,22762,4070,5830,5830,140,121,118,3,22,5687,0.9752066115702479,0.8428571428571429,0.0005272407732864675,0.9042145593869731
llava15_lingoqa,llava15,lingoqa,60D,2,60,canonical_finite,0.5758843421936035,1.0,0.9333333333333333,0.9655172413793104,0.0,218,22762,4070,5830,5744,54,55,33,22,21,5668,0.6,0.6111111111111112,0.003866432337434095,0.6055045871559633
llava15_lingoqa,llava15,lingoqa,60D,2,60,full,0.5758843421936035,1.0,0.9333333333333333,0.9655172413793104,0.0,218,22762,4070,5830,5830,140,141,119,22,21,5668,0.8439716312056738,0.85,0.003866432337434095,0.8469750889679716
llava15_lingoqa,llava15,lingoqa,60D,4,60,canonical_finite,0.5744838714599609,1.0,0.9333333333333333,0.9655172413793104,0.0,671,22762,4070,5830,5744,54,34,33,1,21,5689,0.9705882352941176,0.6111111111111112,0.0001757469244288225,0.75
llava15_lingoqa,llava15,lingoqa,60D,4,60,full,0.5744838714599609,1.0,0.9333333333333333,0.9655172413793104,0.0,671,22762,4070,5830,5830,140,120,119,1,21,5689,0.9916666666666667,0.85,0.0001757469244288225,0.9153846153846154
llava15_lingoqa,llava15,lingoqa,60D,8,60,canonical_finite,0.46876758337020874,1.0,0.9428571428571428,0.9705882352941176,0.0,664,22762,4070,5830,5744,54,34,33,1,21,5689,0.9705882352941176,0.6111111111111112,0.0001757469244288225,0.75
llava15_lingoqa,llava15,lingoqa,60D,8,60,full,0.46876758337020874,1.0,0.9428571428571428,0.9705882352941176,0.0,664,22762,4070,5830,5830,140,120,119,1,21,5689,0.9916666666666667,0.85,0.0001757469244288225,0.9153846153846154
llava15_lingoqa,llava15,lingoqa,60D,12,60,canonical_finite,0.6916455626487732,1.0,0.9428571428571428,0.9705882352941176,0.0,276,22762,4070,5830,5744,54,33,33,0,21,5690,1.0,0.6111111111111112,0.0,0.7586206896551724
llava15_lingoqa,llava15,lingoqa,60D,12,60,full,0.6916455626487732,1.0,0.9428571428571428,0.9705882352941176,0.0,276,22762,4070,5830,5830,140,119,119,0,21,5690,1.0,0.85,0.0,0.918918918918919
llava15_lingoqa,llava15,lingoqa,60D,16,60,canonical_finite,0.4193556606769562,1.0,0.9428571428571428,0.9705882352941176,0.0,549,22762,4070,5830,5744,54,33,33,0,21,5690,1.0,0.6111111111111112,0.0,0.7586206896551724
llava15_lingoqa,llava15,lingoqa,60D,16,60,full,0.4193556606769562,1.0,0.9428571428571428,0.9705882352941176,0.0,549,22762,4070,5830,5830,140,119,119,0,21,5690,1.0,0.85,0.0,0.918918918918919
llava15_lingoqa,llava15,lingoqa,60D,20,60,canonical_finite,0.5082991719245911,1.0,0.9333333333333333,0.9655172413793104,0.0,5,22762,4070,5830,5744,54,57,34,23,20,5667,0.5964912280701754,0.6296296296296297,0.0040421792618629175,0.6126126126126126
llava15_lingoqa,llava15,lingoqa,60D,20,60,full,0.5082991719245911,1.0,0.9333333333333333,0.9655172413793104,0.0,5,22762,4070,5830,5830,140,143,120,23,20,5667,0.8391608391608392,0.8571428571428571,0.0040421792618629175,0.8480565371024735
llava15_lingoqa,llava15,lingoqa,60D,24,60,canonical_finite,0.37050479650497437,1.0,0.9428571428571428,0.9705882352941176,0.0,205,22762,4070,5830,5744,54,36,34,2,20,5688,0.9444444444444444,0.6296296296296297,0.000351493848857645,0.7555555555555555
llava15_lingoqa,llava15,lingoqa,60D,24,60,full,0.37050479650497437,1.0,0.9428571428571428,0.9705882352941176,0.0,205,22762,4070,5830,5830,140,122,120,2,20,5688,0.9836065573770492,0.8571428571428571,0.000351493848857645,0.916030534351145
llava15_lingoqa,llava15,lingoqa,60D,28,60,canonical_finite,0.4314424395561218,1.0,0.9428571428571428,0.9705882352941176,0.0,107,22762,4070,5830,5744,54,57,33,24,21,5666,0.5789473684210527,0.6111111111111112,0.00421792618629174,0.5945945945945946
llava15_lingoqa,llava15,lingoqa,60D,28,60,full,0.4314424395561218,1.0,0.9428571428571428,0.9705882352941176,0.0,107,22762,4070,5830,5830,140,143,119,24,21,5666,0.8321678321678322,0.85,0.00421792618629174,0.8409893992932862
llava15_lingoqa,llava15,lingoqa,60D,32,60,canonical_finite,0.4722655713558197,1.0,0.9333333333333333,0.9655172413793104,0.0,160,22762,4070,5830,5744,54,36,33,3,21,5687,0.9166666666666666,0.6111111111111112,0.0005272407732864675,0.7333333333333333
llava15_lingoqa,llava15,lingoqa,60D,32,60,full,0.4722655713558197,1.0,0.9333333333333333,0.9655172413793104,0.0,160,22762,4070,5830,5830,140,122,119,3,21,5687,0.9754098360655737,0.85,0.0005272407732864675,0.9083969465648855
