job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,1,36,canonical_finite,0.9729536771774292,1.0,0.8554913294797688,0.9221183800623053,0.0,756,22831,4041,5779,5717,114,106,104,2,10,5601,0.9811320754716981,0.9122807017543859,0.0003569516330537212,0.9454545454545454
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,1,36,full,0.9729536771774292,1.0,0.8554913294797688,0.9221183800623053,0.0,756,22831,4041,5779,5772,169,161,159,2,10,5601,0.9875776397515528,0.9408284023668639,0.0003569516330537212,0.9636363636363636
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,2,36,canonical_finite,0.9646963477134705,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,698,22831,4041,5779,5717,114,105,104,1,10,5602,0.9904761904761905,0.9122807017543859,0.0001784758165268606,0.9497716894977168
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,2,36,full,0.9646963477134705,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,698,22831,4041,5779,5772,169,160,159,1,10,5602,0.99375,0.9408284023668639,0.0001784758165268606,0.9665653495440729
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,4,36,canonical_finite,0.6221947073936462,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,32,22831,4041,5779,5717,114,105,104,1,10,5602,0.9904761904761905,0.9122807017543859,0.0001784758165268606,0.9497716894977168
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,4,36,full,0.6221947073936462,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,32,22831,4041,5779,5772,169,160,159,1,10,5602,0.99375,0.9408284023668639,0.0001784758165268606,0.9665653495440729
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,8,36,canonical_finite,0.5181179642677307,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,3,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,8,36,full,0.5181179642677307,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,3,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,12,36,canonical_finite,0.9594560861587524,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,562,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,12,36,full,0.9594560861587524,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,562,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,16,36,canonical_finite,0.5185292363166809,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,6,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,16,36,full,0.5185292363166809,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,6,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,20,36,canonical_finite,0.9742552042007446,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,759,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,20,36,full,0.9742552042007446,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,759,22831,4041,5779,5772,169,159,159,0,10,5603,1.0,0.9408284023668639,0.0,0.9695121951219512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,36D,24,36,canonical_finite,0.7818412780761719,0.9932885906040269,0.8554913294797688,0.9192546583850931,0.00017838030681412772,86,22831,4041,5779,5717,114,104,104,0,10,5603,1.0,0.9122807017543859,0.0,0.9541284403669725
