job,model,dataset,profile,k,feature_count,cohort,selection_threshold,calibration_precision,calibration_recall,calibration_f1,calibration_fpr,best_iteration,model_train_rows,early_stopping_rows,threshold_calibration_rows,selection_validation_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,1,60,canonical_finite,0.5681575536727905,1.0,0.6648936170212766,0.7987220447284346,0.0,224,22380,3802,6057,6035,141,79,79,0,62,5894,1.0,0.5602836879432624,0.0,0.7181818181818181
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,1,60,full,0.5681575536727905,1.0,0.6648936170212766,0.7987220447284346,0.0,224,22380,3802,6057,6084,190,128,128,0,62,5894,1.0,0.6736842105263158,0.0,0.8050314465408805
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,2,60,canonical_finite,0.7200958728790283,1.0,0.6542553191489362,0.7909967845659164,0.0,221,22380,3802,6057,6035,141,91,79,12,62,5882,0.8681318681318682,0.5602836879432624,0.0020359687818120122,0.6810344827586207
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,2,60,full,0.7200958728790283,1.0,0.6542553191489362,0.7909967845659164,0.0,221,22380,3802,6057,6084,190,140,128,12,62,5882,0.9142857142857143,0.6736842105263158,0.0020359687818120122,0.7757575757575758
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,4,60,canonical_finite,0.6279391050338745,1.0,0.6648936170212766,0.7987220447284346,0.0,147,22380,3802,6057,6035,141,104,81,23,60,5871,0.7788461538461539,0.574468085106383,0.003902273498473023,0.6612244897959184
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,4,60,full,0.6279391050338745,1.0,0.6648936170212766,0.7987220447284346,0.0,147,22380,3802,6057,6084,190,153,130,23,60,5871,0.8496732026143791,0.6842105263157895,0.003902273498473023,0.7580174927113703
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,8,60,canonical_finite,0.5300246477127075,0.9922480620155039,0.6808510638297872,0.8075709779179809,0.0001703867779860283,38,22380,3802,6057,6035,141,105,83,22,58,5872,0.7904761904761904,0.5886524822695035,0.0037326094333220224,0.6747967479674797
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,8,60,full,0.5300246477127075,0.9922480620155039,0.6808510638297872,0.8075709779179809,0.0001703867779860283,38,22380,3802,6057,6084,190,154,132,22,58,5872,0.8571428571428571,0.6947368421052632,0.0037326094333220224,0.7674418604651163
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,12,60,canonical_finite,0.5474540591239929,1.0,0.6702127659574468,0.802547770700637,0.0,101,22380,3802,6057,6035,141,86,83,3,58,5891,0.9651162790697675,0.5886524822695035,0.0005089921954530031,0.7312775330396476
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,12,60,full,0.5474540591239929,1.0,0.6702127659574468,0.802547770700637,0.0,101,22380,3802,6057,6084,190,135,132,3,58,5891,0.9777777777777777,0.6947368421052632,0.0005089921954530031,0.8123076923076923
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,16,60,canonical_finite,0.5900775790214539,1.0,0.675531914893617,0.8063492063492063,0.0,23,22380,3802,6057,6035,141,81,81,0,60,5894,1.0,0.574468085106383,0.0,0.7297297297297297
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,16,60,full,0.5900775790214539,1.0,0.675531914893617,0.8063492063492063,0.0,23,22380,3802,6057,6084,190,130,130,0,60,5894,1.0,0.6842105263157895,0.0,0.8125
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,20,60,canonical_finite,0.5215362906455994,1.0,0.675531914893617,0.8063492063492063,0.0,7,22380,3802,6057,6035,141,82,82,0,59,5894,1.0,0.5815602836879432,0.0,0.7354260089686099
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,20,60,full,0.5215362906455994,1.0,0.675531914893617,0.8063492063492063,0.0,7,22380,3802,6057,6084,190,131,131,0,59,5894,1.0,0.6894736842105263,0.0,0.8161993769470405
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,24,60,canonical_finite,0.7025524377822876,0.9923076923076923,0.6861702127659575,0.8113207547169812,0.0001703867779860283,793,22380,3802,6057,6035,141,86,86,0,55,5894,1.0,0.6099290780141844,0.0,0.7577092511013216
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,24,60,full,0.7025524377822876,0.9923076923076923,0.6861702127659575,0.8113207547169812,0.0001703867779860283,793,22380,3802,6057,6084,190,135,135,0,55,5894,1.0,0.7105263157894737,0.0,0.8307692307692308
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,28,60,canonical_finite,0.5309370160102844,1.0,0.675531914893617,0.8063492063492063,0.0,9,22380,3802,6057,6035,141,82,82,0,59,5894,1.0,0.5815602836879432,0.0,0.7354260089686099
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,28,60,full,0.5309370160102844,1.0,0.675531914893617,0.8063492063492063,0.0,9,22380,3802,6057,6084,190,131,131,0,59,5894,1.0,0.6894736842105263,0.0,0.8161993769470405
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,32,60,canonical_finite,0.5309593677520752,1.0,0.675531914893617,0.8063492063492063,0.0,9,22380,3802,6057,6035,141,82,82,0,59,5894,1.0,0.5815602836879432,0.0,0.7354260089686099
qwen25_vl_vqav2,qwen25_vl,vqav2,60D,32,60,full,0.5309593677520752,1.0,0.675531914893617,0.8063492063492063,0.0,9,22380,3802,6057,6084,190,131,131,0,59,5894,1.0,0.6894736842105263,0.0,0.8161993769470405
