source_job,source_model,source_dataset,target_job,target_model,target_dataset,relationship,cohort,threshold,target_rows,target_strict_finite_rows,support,pred_total,tp,fp,fn,tn,precision,recall,false_positive_rate,f1,bootstrap_replicates,bootstrap_clusters,f1_ci_low,f1_ci_high
internvl3_earthvqa,internvl3,earthvqa,internvl3_earthvqa,internvl3,earthvqa,in_domain,full,0.4291782081127167,8236,7890,472,463,461,2,11,7762,0.9956803455723542,0.9766949152542372,0.00025759917568263783,0.986096256684492,10000,375,0.9753914988814317,0.9947643979057592
internvl3_earthvqa,internvl3,earthvqa,internvl3_lingoqa,internvl3,lingoqa,same_model_cross_dataset,full,0.4291782081127167,8237,7891,497,1620,462,1158,35,6582,0.2851851851851852,0.9295774647887324,0.1496124031007752,0.43646669815777045,10000,75,0.3567985695820767,0.5443001672778742
internvl3_earthvqa,internvl3,earthvqa,internvl3_vqav2,internvl3,vqav2,same_model_cross_dataset,full,0.4291782081127167,8375,8041,503,4903,447,4456,56,3416,0.09116867224148481,0.8886679920477137,0.5660569105691057,0.16537180910099888,10000,116,0.14968087143153888,0.18247876487701908
internvl3_earthvqa,internvl3,earthvqa,llava15_earthvqa,llava15,earthvqa,cross_model_same_dataset,full,0.4291782081127167,8250,8113,149,378,144,234,5,7867,0.38095238095238093,0.9664429530201343,0.028885322799654365,0.5464895635673624,10000,375,0.4491590476408344,0.6652360515021459
internvl3_earthvqa,internvl3,earthvqa,llava15_lingoqa,llava15,lingoqa,cross_model_cross_dataset,full,0.4291782081127167,8245,8086,187,2209,179,2030,8,6028,0.08103214124038026,0.9572192513368984,0.25192355423181934,0.14941569282136896,10000,75,0.11444614144170685,0.20368488262910797
internvl3_earthvqa,internvl3,earthvqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,full,0.4291782081127167,8382,8232,169,2677,158,2519,11,5694,0.059021292491595066,0.9349112426035503,0.30670887617192255,0.11103302881236823,10000,116,0.0922589446632401,0.13418564928149593
internvl3_earthvqa,internvl3,earthvqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_same_dataset,full,0.4291782081127167,8236,8077,270,152,152,0,118,7966,1.0,0.562962962962963,0.0,0.7203791469194313,10000,375,0.6595174262734584,0.7785547785547785
internvl3_earthvqa,internvl3,earthvqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_cross_dataset,full,0.4291782081127167,8249,8104,212,200,185,15,27,8022,0.925,0.8726415094339622,0.001866368047779022,0.8980582524271845,10000,75,0.8324277218394865,0.9496410748862616
internvl3_earthvqa,internvl3,earthvqa,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_cross_dataset,full,0.4291782081127167,8376,8211,261,832,216,616,45,7499,0.25961538461538464,0.8275862068965517,0.07590881084411584,0.39524245196706315,10000,116,0.33516367909061096,0.46527904501216544
internvl3_lingoqa,internvl3,lingoqa,internvl3_earthvqa,internvl3,earthvqa,same_model_cross_dataset,full,0.8888392448425293,8236,7890,472,456,456,0,16,7764,1.0,0.9661016949152542,0.0,0.9827586206896551,10000,375,0.970917225950783,0.9926701570680628
internvl3_lingoqa,internvl3,lingoqa,internvl3_lingoqa,internvl3,lingoqa,in_domain,full,0.8888392448425293,8237,7891,497,459,456,3,41,7737,0.9934640522875817,0.9175050301810865,0.0003875968992248062,0.9539748953974896,10000,75,0.9060875392191493,0.9882082408435072
internvl3_lingoqa,internvl3,lingoqa,internvl3_vqav2,internvl3,vqav2,same_model_cross_dataset,full,0.8888392448425293,8375,8041,503,487,464,23,39,7849,0.9527720739219713,0.9224652087475149,0.0029217479674796746,0.9373737373737374,10000,116,0.9024371443611662,0.9744247340734713
internvl3_lingoqa,internvl3,lingoqa,llava15_earthvqa,llava15,earthvqa,cross_model_cross_dataset,full,0.8888392448425293,8250,8113,149,115,115,0,34,8101,1.0,0.7718120805369127,0.0,0.8712121212121212,10000,375,0.8235294117647058,0.9138576779026217
internvl3_lingoqa,internvl3,lingoqa,llava15_lingoqa,llava15,lingoqa,cross_model_same_dataset,full,0.8888392448425293,8245,8086,187,135,135,0,52,8058,1.0,0.7219251336898396,0.0,0.8385093167701864,10000,75,0.786879781420765,0.884147946084724
internvl3_lingoqa,internvl3,lingoqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,full,0.8888392448425293,8382,8232,169,136,136,0,33,8213,1.0,0.8047337278106509,0.0,0.8918032786885246,10000,116,0.8337138953942234,0.9480981673715237
internvl3_lingoqa,internvl3,lingoqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_cross_dataset,full,0.8888392448425293,8236,8077,270,226,226,0,44,7966,1.0,0.837037037037037,0.0,0.9112903225806451,10000,375,0.8571428571428571,0.957983193277311
internvl3_lingoqa,internvl3,lingoqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_same_dataset,full,0.8888392448425293,8249,8104,212,200,198,2,14,8035,0.99,0.9339622641509434,0.00024884907303720296,0.9611650485436893,10000,75,0.9239123302521968,0.9882352941176471
internvl3_lingoqa,internvl3,lingoqa,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_cross_dataset,full,0.8888392448425293,8376,8211,261,465,223,242,38,7873,0.47956989247311826,0.8544061302681992,0.02982131854590265,0.6143250688705234,10000,116,0.53418113944175,0.7046283651722755
internvl3_vqav2,internvl3,vqav2,internvl3_earthvqa,internvl3,earthvqa,same_model_cross_dataset,full,0.5743780136108398,8236,7890,472,458,458,0,14,7764,1.0,0.9703389830508474,0.0,0.9849462365591398,10000,375,0.9739692013275586,0.9941660338810835
internvl3_vqav2,internvl3,vqav2,internvl3_lingoqa,internvl3,lingoqa,same_model_cross_dataset,full,0.5743780136108398,8237,7891,497,455,454,1,43,7739,0.9978021978021978,0.9134808853118712,0.00012919896640826872,0.9537815126050421,10000,75,0.9049036415055833,0.9879281714382682
internvl3_vqav2,internvl3,vqav2,internvl3_vqav2,internvl3,vqav2,in_domain,full,0.5743780136108398,8375,8041,503,476,462,14,41,7858,0.9705882352941176,0.9184890656063618,0.0017784552845528454,0.9438202247191011,10000,116,0.9089402916725378,0.9781213483745129
internvl3_vqav2,internvl3,vqav2,llava15_earthvqa,llava15,earthvqa,cross_model_cross_dataset,full,0.5743780136108398,8250,8113,149,1304,144,1160,5,6941,0.11042944785276074,0.9664429530201343,0.14319219849401307,0.19821059876118377,10000,375,0.1622330885573592,0.24107274936601858
internvl3_vqav2,internvl3,vqav2,llava15_lingoqa,llava15,lingoqa,cross_model_cross_dataset,full,0.5743780136108398,8245,8086,187,3000,166,2834,21,5224,0.05533333333333333,0.8877005347593583,0.3517001737403822,0.10417320363978663,10000,75,0.08224990604604897,0.1359369208355761
internvl3_vqav2,internvl3,vqav2,llava15_vqav2,llava15,vqav2,cross_model_same_dataset,full,0.5743780136108398,8382,8232,169,4585,163,4422,6,3791,0.03555070883315158,0.9644970414201184,0.5384147083891392,0.068573832562053,10000,116,0.058684306844578996,0.07900794813672277
internvl3_vqav2,internvl3,vqav2,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_cross_dataset,full,0.5743780136108398,8236,8077,270,226,226,0,44,7966,1.0,0.837037037037037,0.0,0.9112903225806451,10000,375,0.8566106250658796,0.9584245076586433
internvl3_vqav2,internvl3,vqav2,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_cross_dataset,full,0.5743780136108398,8249,8104,212,199,198,1,14,8036,0.9949748743718593,0.9339622641509434,0.00012442453651860148,0.9635036496350365,10000,75,0.9272715020828228,0.9906552923277548
internvl3_vqav2,internvl3,vqav2,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_same_dataset,full,0.5743780136108398,8376,8211,261,263,223,40,38,8075,0.8479087452471483,0.8544061302681992,0.004929143561306223,0.851145038167939,10000,116,0.7763860268864684,0.9210540343395802
llava15_earthvqa,llava15,earthvqa,internvl3_earthvqa,internvl3,earthvqa,cross_model_same_dataset,full,0.8492140173912048,8236,7890,472,370,370,0,102,7764,1.0,0.7838983050847458,0.0,0.8788598574821853,10000,375,0.854066985645933,0.9019108280254777
llava15_earthvqa,llava15,earthvqa,internvl3_lingoqa,internvl3,lingoqa,cross_model_cross_dataset,full,0.8492140173912048,8237,7891,497,449,449,0,48,7740,1.0,0.903420523138833,0.0,0.9492600422832981,10000,75,0.9010309278350516,0.9834983498349835
llava15_earthvqa,llava15,earthvqa,internvl3_vqav2,internvl3,vqav2,cross_model_cross_dataset,full,0.8492140173912048,8375,8041,503,350,349,1,154,7871,0.9971428571428571,0.6938369781312127,0.00012703252032520327,0.8182883939038686,10000,116,0.7829452637549631,0.8517831416656135
llava15_earthvqa,llava15,earthvqa,llava15_earthvqa,llava15,earthvqa,in_domain,full,0.8492140173912048,8250,8113,149,151,144,7,5,8094,0.9536423841059603,0.9664429530201343,0.0008640908529811135,0.96,10000,375,0.9355932203389831,0.9807692307692307
llava15_earthvqa,llava15,earthvqa,llava15_lingoqa,llava15,lingoqa,same_model_cross_dataset,full,0.8492140173912048,8245,8086,187,458,170,288,17,7770,0.37117903930131,0.9090909090909091,0.035740878629932984,0.5271317829457365,10000,75,0.3608633417344276,0.7727272727272727
llava15_earthvqa,llava15,earthvqa,llava15_vqav2,llava15,vqav2,same_model_cross_dataset,full,0.8492140173912048,8382,8232,169,845,156,689,13,7524,0.18461538461538463,0.9230769230769231,0.08389139169609157,0.3076923076923077,10000,116,0.2518688594814302,0.3874661246612466
llava15_earthvqa,llava15,earthvqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_same_dataset,full,0.8492140173912048,8236,8077,270,146,146,0,124,7966,1.0,0.5407407407407407,0.0,0.7019230769230769,10000,375,0.640493323291129,0.7606266957018422
llava15_earthvqa,llava15,earthvqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_cross_dataset,full,0.8492140173912048,8249,8104,212,137,137,0,75,8037,1.0,0.6462264150943396,0.0,0.7851002865329513,10000,75,0.7238593131622623,0.8372124031007752
llava15_earthvqa,llava15,earthvqa,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_cross_dataset,full,0.8492140173912048,8376,8211,261,155,155,0,106,8115,1.0,0.5938697318007663,0.0,0.7451923076923077,10000,116,0.6744667652971187,0.8066311528369309
llava15_lingoqa,llava15,lingoqa,internvl3_earthvqa,internvl3,earthvqa,cross_model_cross_dataset,full,0.9801421165466309,8236,7890,472,298,298,0,174,7764,1.0,0.6313559322033898,0.0,0.7740259740259741,10000,375,0.7402597402597403,0.8054804833192967
llava15_lingoqa,llava15,lingoqa,internvl3_lingoqa,internvl3,lingoqa,cross_model_same_dataset,full,0.9801421165466309,8237,7891,497,309,309,0,188,7740,1.0,0.6217303822937625,0.0,0.7667493796526055,10000,75,0.7130847210679143,0.8140991093993564
llava15_lingoqa,llava15,lingoqa,internvl3_vqav2,internvl3,vqav2,cross_model_cross_dataset,full,0.9801421165466309,8375,8041,503,291,291,0,212,7872,1.0,0.5785288270377733,0.0,0.7329974811083123,10000,116,0.6911751653324052,0.7722486882076774
llava15_lingoqa,llava15,lingoqa,llava15_earthvqa,llava15,earthvqa,same_model_cross_dataset,full,0.9801421165466309,8250,8113,149,138,138,0,11,8101,1.0,0.9261744966442953,0.0,0.9616724738675958,10000,375,0.9383561643835616,0.9818181818181818
llava15_lingoqa,llava15,lingoqa,llava15_lingoqa,llava15,lingoqa,in_domain,full,0.9801421165466309,8245,8086,187,170,169,1,18,8057,0.9941176470588236,0.9037433155080213,0.00012410027302060066,0.9467787114845938,10000,75,0.9168900804289544,0.9717514124293786
llava15_lingoqa,llava15,lingoqa,llava15_vqav2,llava15,vqav2,same_model_cross_dataset,full,0.9801421165466309,8382,8232,169,155,155,0,14,8213,1.0,0.9171597633136095,0.0,0.9567901234567902,10000,116,0.911050733326299,0.9924812030075187
llava15_lingoqa,llava15,lingoqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_cross_dataset,full,0.9801421165466309,8236,8077,270,135,135,0,135,7966,1.0,0.5,0.0,0.6666666666666666,10000,375,0.6021491302144908,0.7272727272727273
llava15_lingoqa,llava15,lingoqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_same_dataset,full,0.9801421165466309,8249,8104,212,126,126,0,86,8037,1.0,0.5943396226415094,0.0,0.7455621301775148,10000,75,0.6858789625360231,0.7975839807221983
llava15_lingoqa,llava15,lingoqa,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_cross_dataset,full,0.9801421165466309,8376,8211,261,146,146,0,115,8115,1.0,0.5593869731800766,0.0,0.7174447174447175,10000,116,0.6535626535626535,0.7758186397984886
llava15_vqav2,llava15,vqav2,internvl3_earthvqa,internvl3,earthvqa,cross_model_cross_dataset,full,0.5783867835998535,8236,7890,472,316,316,0,156,7764,1.0,0.6694915254237288,0.0,0.8020304568527918,10000,375,0.7702345679839923,0.8329048843187661
llava15_vqav2,llava15,vqav2,internvl3_lingoqa,internvl3,lingoqa,cross_model_cross_dataset,full,0.5783867835998535,8237,7891,497,323,323,0,174,7740,1.0,0.6498993963782697,0.0,0.7878048780487805,10000,75,0.7338491997099994,0.834879227936415
llava15_vqav2,llava15,vqav2,internvl3_vqav2,internvl3,vqav2,cross_model_same_dataset,full,0.5783867835998535,8375,8041,503,308,308,0,195,7872,1.0,0.6123260437375746,0.0,0.7595561035758323,10000,116,0.7184919121685336,0.7993791414706314
llava15_vqav2,llava15,vqav2,llava15_earthvqa,llava15,earthvqa,same_model_cross_dataset,full,0.5783867835998535,8250,8113,149,137,137,0,12,8101,1.0,0.9194630872483222,0.0,0.958041958041958,10000,375,0.9328853131595798,0.9794520547945206
llava15_vqav2,llava15,vqav2,llava15_lingoqa,llava15,lingoqa,same_model_cross_dataset,full,0.5783867835998535,8245,8086,187,169,168,1,19,8057,0.9940828402366864,0.8983957219251337,0.00012410027302060066,0.9438202247191011,10000,75,0.9139784946236559,0.9697007766103243
llava15_vqav2,llava15,vqav2,llava15_vqav2,llava15,vqav2,in_domain,full,0.5783867835998535,8382,8232,169,178,156,22,13,8191,0.8764044943820225,0.9230769230769231,0.0026786801412394985,0.899135446685879,10000,116,0.8155318971623817,0.9856115107913669
llava15_vqav2,llava15,vqav2,qwen25_vl_earthvqa,qwen25_vl,earthvqa,cross_model_cross_dataset,full,0.5783867835998535,8236,8077,270,141,141,0,129,7966,1.0,0.5222222222222223,0.0,0.6861313868613139,10000,375,0.6259168704156479,0.7446808510638298
llava15_vqav2,llava15,vqav2,qwen25_vl_lingoqa,qwen25_vl,lingoqa,cross_model_cross_dataset,full,0.5783867835998535,8249,8104,212,137,131,6,81,8031,0.9562043795620438,0.6179245283018868,0.0007465472191116088,0.7507163323782235,10000,75,0.6892623627245604,0.804820746400235
llava15_vqav2,llava15,vqav2,qwen25_vl_vqav2,qwen25_vl,vqav2,cross_model_same_dataset,full,0.5783867835998535,8376,8211,261,154,150,4,111,8111,0.974025974025974,0.5747126436781609,0.0004929143561306223,0.7228915662650602,10000,116,0.65625,0.7820241489183296
qwen25_vl_earthvqa,qwen25_vl,earthvqa,internvl3_earthvqa,internvl3,earthvqa,cross_model_same_dataset,full,0.5203976631164551,8236,7890,472,312,307,5,165,7759,0.9839743589743589,0.6504237288135594,0.0006439979392065945,0.7831632653061225,10000,375,0.7522697795071336,0.8131875113450717
qwen25_vl_earthvqa,qwen25_vl,earthvqa,internvl3_lingoqa,internvl3,lingoqa,cross_model_cross_dataset,full,0.5203976631164551,8237,7891,497,482,453,29,44,7711,0.9398340248962656,0.9114688128772636,0.0037467700258397934,0.9254341164453525,10000,75,0.8663504797133279,0.9742585319984512
qwen25_vl_earthvqa,qwen25_vl,earthvqa,internvl3_vqav2,internvl3,vqav2,cross_model_cross_dataset,full,0.5203976631164551,8375,8041,503,1019,437,582,66,7290,0.42885181550539747,0.8687872763419483,0.07393292682926829,0.5742444152431012,10000,116,0.4879281056765863,0.6923838815779295
qwen25_vl_earthvqa,qwen25_vl,earthvqa,llava15_earthvqa,llava15,earthvqa,cross_model_same_dataset,full,0.5203976631164551,8250,8113,149,127,127,0,22,8101,1.0,0.8523489932885906,0.0,0.9202898550724637,10000,375,0.8833333333333333,0.9530201342281879
qwen25_vl_earthvqa,qwen25_vl,earthvqa,llava15_lingoqa,llava15,lingoqa,cross_model_cross_dataset,full,0.5203976631164551,8245,8086,187,148,148,0,39,8058,1.0,0.7914438502673797,0.0,0.8835820895522388,10000,75,0.8406779661016949,0.9214131994261119
qwen25_vl_earthvqa,qwen25_vl,earthvqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,full,0.5203976631164551,8382,8232,169,150,150,0,19,8213,1.0,0.8875739644970414,0.0,0.9404388714733543,10000,116,0.8959220498015157,0.9799196787148594
qwen25_vl_earthvqa,qwen25_vl,earthvqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,in_domain,full,0.5203976631164551,8236,8077,270,258,231,27,39,7939,0.8953488372093024,0.8555555555555555,0.003389404971127291,0.875,10000,375,0.804194895226091,0.9397101921198308
qwen25_vl_earthvqa,qwen25_vl,earthvqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,same_model_cross_dataset,full,0.5203976631164551,8249,8104,212,556,201,355,11,7682,0.36151079136690645,0.9481132075471698,0.04417071046410352,0.5234375,10000,75,0.3942905384164693,0.7164260855347673
qwen25_vl_earthvqa,qwen25_vl,earthvqa,qwen25_vl_vqav2,qwen25_vl,vqav2,same_model_cross_dataset,full,0.5203976631164551,8376,8211,261,1433,228,1205,33,6910,0.15910676901605025,0.8735632183908046,0.14849044978434997,0.269185360094451,10000,116,0.22262904486806986,0.3358454229046825
qwen25_vl_lingoqa,qwen25_vl,lingoqa,internvl3_earthvqa,internvl3,earthvqa,cross_model_cross_dataset,full,0.9652795195579529,8236,7890,472,453,453,0,19,7764,1.0,0.9597457627118644,0.0,0.9794594594594594,10000,375,0.9672484765499716,0.9899801828350806
qwen25_vl_lingoqa,qwen25_vl,lingoqa,internvl3_lingoqa,internvl3,lingoqa,cross_model_same_dataset,full,0.9652795195579529,8237,7891,497,429,428,1,69,7739,0.9976689976689976,0.8611670020120724,0.00012919896640826872,0.9244060475161987,10000,75,0.871587018121399,0.9640449438202248
qwen25_vl_lingoqa,qwen25_vl,lingoqa,internvl3_vqav2,internvl3,vqav2,cross_model_cross_dataset,full,0.9652795195579529,8375,8041,503,463,453,10,50,7862,0.978401727861771,0.9005964214711729,0.0012703252032520325,0.937888198757764,10000,116,0.9031197994696237,0.973036492813253
qwen25_vl_lingoqa,qwen25_vl,lingoqa,llava15_earthvqa,llava15,earthvqa,cross_model_cross_dataset,full,0.9652795195579529,8250,8113,149,106,106,0,43,8101,1.0,0.7114093959731543,0.0,0.8313725490196079,10000,375,0.77625230014312,0.8797256296489625
qwen25_vl_lingoqa,qwen25_vl,lingoqa,llava15_lingoqa,llava15,lingoqa,cross_model_same_dataset,full,0.9652795195579529,8245,8086,187,121,121,0,66,8058,1.0,0.6470588235294118,0.0,0.7857142857142857,10000,75,0.7272590772590773,0.8391167192429022
qwen25_vl_lingoqa,qwen25_vl,lingoqa,llava15_vqav2,llava15,vqav2,cross_model_cross_dataset,full,0.9652795195579529,8382,8232,169,126,126,0,43,8213,1.0,0.7455621301775148,0.0,0.8542372881355932,10000,116,0.7976870137134915,0.9142857142857143
qwen25_vl_lingoqa,qwen25_vl,lingoqa,qwen25_vl_earthvqa,qwen25_vl,earthvqa,same_model_cross_dataset,full,0.9652795195579529,8236,8077,270,225,225,0,45,7966,1.0,0.8333333333333334,0.0,0.9090909090909091,10000,375,0.8553971486761711,0.9558571445816584
qwen25_vl_lingoqa,qwen25_vl,lingoqa,qwen25_vl_lingoqa,qwen25_vl,lingoqa,in_domain,full,0.9652795195579529,8249,8104,212,198,197,1,15,8036,0.9949494949494949,0.9292452830188679,0.00012442453651860148,0.9609756097560975,10000,75,0.923723024914328,0.9883727674958183
qwen25_vl_lingoqa,qwen25_vl,lingoqa,qwen25_vl_vqav2,qwen25_vl,vqav2,same_model_cross_dataset,full,0.9652795195579529,8376,8211,261,258,143,115,118,8000,0.5542635658914729,0.5478927203065134,0.014171287738755391,0.5510597302504817,10000,116,0.4597128744884154,0.6452836665083546
qwen25_vl_vqav2,qwen25_vl,vqav2,internvl3_earthvqa,internvl3,earthvqa,cross_model_cross_dataset,full,0.8205813765525818,8236,7890,472,153,153,0,319,7764,1.0,0.3241525423728814,0.0,0.4896,10000,375,0.43844856661045534,0.5401240200054068
qwen25_vl_vqav2,qwen25_vl,vqav2,internvl3_lingoqa,internvl3,lingoqa,cross_model_cross_dataset,full,0.8205813765525818,8237,7891,497,354,354,0,143,7740,1.0,0.7122736418511066,0.0,0.8319623971797885,10000,75,0.7795083530853718,0.8767485513061162
qwen25_vl_vqav2,qwen25_vl,vqav2,internvl3_vqav2,internvl3,vqav2,cross_model_same_dataset,full,0.8205813765525818,8375,8041,503,239,239,0,264,7872,1.0,0.47514910536779326,0.0,0.6442048517520216,10000,116,0.5966227760103687,0.6923100871731008
qwen25_vl_vqav2,qwen25_vl,vqav2,llava15_earthvqa,llava15,earthvqa,cross_model_cross_dataset,full,0.8205813765525818,8250,8113,149,109,109,0,40,8101,1.0,0.7315436241610739,0.0,0.8449612403100775,10000,375,0.792156862745098,0.8913063833251913
